FrameNo., POC, Slice, SliceQP, AvgQP, MaxQP, MinQP, PSNR-YUV, PSNR-Prev, PSNR-Avg, SSIM-YUV, SSIM-Prev, SSIM-Avg, Bits, Bits-Avg, Bits-FRMAvg, GOP-GOPAvg, CPB Full, CPB CHK, SAOBits, HdrBits, DataBits
34, 34, P, 37, 37, 37, 37, 36.34, -0.00, -0.15, 0.0000, +0.0000, +0.0000, 82576, -1148, +4406, ,-nan(ind)%, -1,4140, 23799, 58729
35, 35, P, 37, 37, 37, 37, 36.25, -0.09, -0.24, 0.0000, +0.0000, +0.0000, 80816, -2908, +2646, ,-nan(ind)%, -1,4420, 24281, 56487
36, 36, P, 37, 37, 37, 37, 36.18, -0.07, -0.30, 0.0000, +0.0000, +0.0000, 81152, -2572, +2982, ,-nan(ind)%, -1,4476, 24419, 56685
37, 37, P, 37, 37, 37, 37, 36.12, -0.07, -0.37, 0.0000, +0.0000, +0.0000, 83584, -140, +5414, ,-nan(ind)%, -1,4905, 25208, 58328
38, 38, P, 37, 37, 37, 37, 36.12, +0.01, -0.37, 0.0000, +0.0000, +0.0000, 83664, -60, +5494, ,-nan(ind)%, -1,4488, 24524, 59092
39, 39, P, 37, 37, 37, 37, 36.10, -0.02, -0.39, 0.0000, +0.0000, +0.0000, 81848, -1876, +3678, ,-nan(ind)%, -1,4234, 23967, 57833
40, 40, P, 37, 37, 37, 37, 36.11, +0.01, -0.37, 0.0000, +0.0000, +0.0000, 82144, -1580, +3974, ,-nan(ind)%, -1,4656, 24788, 57308
41, 41, P, 37, 37, 37, 37, 36.03, -0.08, -0.46, 0.0000, +0.0000, +0.0000, 81336, -2388, +3166, ,-nan(ind)%, -1,4343, 24334, 56954
42, 42, P, 37, 37, 37, 37, 35.93, -0.10, -0.56, 0.0000, +0.0000, +0.0000, 84704, +980, +6534, ,-nan(ind)%, -1,4428, 24880, 59776
43, 43, P, 37, 37, 37, 37, 35.86, -0.07, -0.63, 0.0000, +0.0000, +0.0000, 88808, +5084, +10638, ,-nan(ind)%, -1,4481, 24473, 64287
44, 44, P, 37, 37, 37, 37, 35.69, -0.17, -0.80, 0.0000, +0.0000, +0.0000, 90328, +6604, +12158, ,-nan(ind)%, -1,4432, 25663, 64617
45, 45, P, 37, 37, 37, 37, 35.62, -0.07, -0.87, 0.0000, +0.0000, +0.0000, 93064, +9340, +14894, ,-nan(ind)%, -1,4334, 25161, 67855
46, 46, P, 37, 37, 37, 37, 35.46, -0.16, -1.02, 0.0000, +0.0000, +0.0000, 92480, +8756, +14310, ,-nan(ind)%, -1,4295, 25271, 67161
47, 47, P, 37, 37, 37, 37, 35.47, +0.01, -1.01, 0.0000, +0.0000, +0.0000, 92256, +8532, +14086, ,-nan(ind)%, -1,4662, 25769, 66439
48, 48, P, 37, 37, 37, 37, 35.39, -0.09, -1.10, 0.0000, +0.0000, +0.0000, 91664, +7940, +13494, ,-nan(ind)%, -1,4887, 27069, 64547
49, 49, P, 37, 37, 37, 37, 35.44, +0.05, -1.05, 0.0000, +0.0000, +0.0000, 94848, +11124, +16678, ,-nan(ind)%, -1,4569, 26926, 67874

Bitstream: D:\tpra_cmodel\HEVC_Encoder_MODEL\HEVC_encoder\simulation\vc\WinPrj\test_enc.h265
Width x Height: 1920 x 1088
Total Frame Counts: 50
Total GOPs: 2
