CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 63, 0, 37.21, 41.90, 41.75
1, 064, 000, 37, 30, 24, 33.46, 40.48, 39.39
2, 128, 000, 37, 78, 31, 29.87, 38.09, 37.82
3, 192, 000, 37, 43, 30, 30.77, 41.02, 41.54
4, 256, 000, 37, 98, 113, 31.81, 39.27, 39.56
5, 320, 000, 0, 9, 0, 31.85, 43.21, 40.17
6, 384, 000, 37, 57, 0, 34.01, 43.40, 42.65
7, 448, 000, 0, 9, 0, 33.36, 45.03, 44.34
8, 512, 000, 0, 8, 0, 33.40, 44.29, 43.75
9, 576, 000, 37, 35, 0, 33.61, 44.28, 43.93
10, 640, 000, 37, 108, 30, 36.53, 43.84, 42.58
11, 704, 000, 0, 7, 0, 34.89, 44.79, 44.13
12, 768, 000, 0, 6, 0, 35.50, 43.86, 43.74
13, 832, 000, 0, 5, 0, 36.53, 44.00, 43.25
14, 896, 000, 0, 5, 0, 35.58, 43.27, 43.26
15, 960, 000, 0, 4, 0, 33.84, 42.60, 41.76
16, 1024, 000, 0, 3, 0, 37.99, 44.57, 42.81
17, 1088, 000, 0, 3, 0, 37.13, 44.18, 42.89
18, 1152, 000, 0, 7, 0, 37.23, 44.07, 43.66
19, 1216, 000, 37, 64, 55, 35.40, 42.50, 42.15
20, 1280, 000, 0, 15, 0, 37.99, 44.43, 45.25
21, 1344, 000, 0, 3, 0, 38.10, 45.08, 44.73
22, 1408, 000, 0, 3, 0, 35.91, 39.37, 42.27
23, 1472, 000, 37, 81, 76, 34.26, 44.07, 43.61
24, 1536, 000, 0, 6, 0, 36.74, 42.52, 43.71
25, 1600, 000, 0, 17, 0, 35.66, 45.32, 43.68
26, 1664, 000, 0, 6, 0, 34.86, 44.14, 42.62
27, 1728, 000, 0, 30, 0, 33.08, 42.65, 42.05
28, 1792, 000, 0, 50, 0, 36.40, 45.54, 43.38
29, 1856, 000, 37, 51, 0, 34.02, 44.34, 43.19
30, 000, 064, 0, 7, 0, 35.31, 39.87, 43.13
31, 064, 064, 0, 6, 0, 39.22, 41.35, 45.00
32, 128, 064, 0, 8, 0, 37.22, 41.17, 42.63
33, 192, 064, 37, 73, 21, 32.32, 38.99, 37.36
34, 256, 064, 37, 85, 58, 29.00, 38.78, 37.30
35, 320, 064, 37, 37, 54, 33.02, 41.75, 40.26
36, 384, 064, 0, 5, 0, 32.50, 44.15, 43.20
37, 448, 064, 0, 4, 0, 33.08, 45.92, 44.26
38, 512, 064, 0, 5, 0, 34.10, 45.73, 44.81
39, 576, 064, 0, 21, 0, 32.88, 45.62, 43.85
40, 640, 064, 37, 57, 40, 32.31, 42.59, 41.30
41, 704, 064, 37, 31, 69, 32.49, 41.84, 40.69
42, 768, 064, 0, 38, 0, 32.47, 39.88, 39.48
43, 832, 064, 0, 3, 0, 33.08, 41.06, 40.45
44, 896, 064, 0, 34, 0, 32.41, 41.00, 41.14
45, 960, 064, 37, 31, 21, 31.98, 41.34, 40.92
46, 1024, 064, 0, 3, 0, 34.56, 41.57, 42.43
47, 1088, 064, 0, 13, 0, 33.97, 42.00, 42.36
48, 1152, 064, 0, 5, 0, 34.31, 43.37, 42.14
49, 1216, 064, 37, 57, 68, 33.45, 41.30, 41.35
50, 1280, 064, 0, 5, 0, 33.36, 44.26, 44.08
51, 1344, 064, 0, 2, 0, 34.32, 45.49, 44.51
52, 1408, 064, 0, 2, 0, 32.95, 39.74, 42.08
53, 1472, 064, 37, 132, 41, 32.92, 42.10, 42.43
54, 1536, 064, 37, 22, 0, 33.10, 39.11, 40.13
55, 1600, 064, 0, 8, 0, 31.80, 42.52, 38.77
56, 1664, 064, 0, 4, 0, 31.71, 41.58, 38.30
