CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 64, 0, 37.26, 41.82, 40.51
1, 064, 000, 37, 59, 1, 32.42, 40.55, 39.88
2, 128, 000, 0, 42, 0, 32.01, 38.80, 39.03
3, 192, 000, 0, 8, 0, 33.65, 42.78, 44.60
4, 256, 000, 37, 29, 1, 34.32, 40.87, 39.96
5, 320, 000, 0, 6, 0, 34.98, 44.09, 42.21
6, 384, 000, 0, 5, 0, 36.30, 45.37, 44.34
7, 448, 000, 0, 4, 0, 35.30, 45.13, 44.70
8, 512, 000, 0, 4, 0, 34.68, 44.36, 43.72
9, 576, 000, 0, 4, 0, 35.87, 46.07, 44.85
10, 640, 000, 0, 3, 0, 37.72, 43.98, 42.67
11, 704, 000, 0, 4, 0, 37.50, 45.59, 45.01
12, 768, 000, 0, 2, 0, 38.04, 44.74, 44.54
13, 832, 000, 0, 2, 0, 37.85, 45.12, 44.25
14, 896, 000, 0, 3, 0, 38.56, 43.28, 42.71
15, 960, 000, 0, 2, 0, 38.38, 43.30, 43.07
16, 1024, 000, 0, 1, 0, 38.90, 45.20, 43.18
17, 1088, 000, 0, 12, 0, 38.55, 44.75, 44.46
18, 1152, 000, 0, 5, 0, 38.37, 45.33, 43.42
19, 1216, 000, 0, 5, 0, 38.23, 42.86, 43.38
20, 1280, 000, 0, 2, 0, 39.14, 44.83, 44.56
21, 1344, 000, 0, 2, 0, 39.05, 45.92, 45.66
22, 1408, 000, 0, 2, 0, 36.84, 41.62, 42.90
23, 1472, 000, 0, 1, 0, 35.90, 44.41, 45.26
24, 1536, 000, 0, 2, 0, 38.06, 44.52, 44.60
25, 1600, 000, 0, 1, 0, 36.38, 46.59, 45.65
26, 1664, 000, 0, 22, 0, 35.65, 44.41, 42.64
27, 1728, 000, 37, 40, 0, 36.14, 43.78, 43.90
28, 1792, 000, 0, 5, 0, 37.03, 45.31, 43.26
29, 1856, 000, 0, 23, 0, 35.90, 43.95, 43.49
30, 000, 064, 0, 2, 0, 37.12, 40.79, 45.34
31, 064, 064, 0, 8, 0, 38.29, 41.80, 44.76
32, 128, 064, 0, 10, 0, 35.37, 40.41, 41.43
33, 192, 064, 0, 7, 0, 32.37, 39.41, 37.50
34, 256, 064, 0, 2, 0, 31.32, 40.17, 38.82
35, 320, 064, 0, 3, 0, 35.76, 42.67, 41.88
36, 384, 064, 0, 2, 0, 34.80, 43.68, 42.50
37, 448, 064, 37, 32, 1, 35.23, 42.07, 40.56
38, 512, 064, 0, 5, 0, 35.90, 40.94, 39.49
39, 576, 064, 0, 26, 0, 34.66, 40.02, 38.07
40, 640, 064, 37, 49, 0, 32.88, 39.11, 37.04
41, 704, 064, 37, 33, 1, 33.18, 37.75, 38.14
42, 768, 064, 0, 8, 0, 34.91, 37.84, 40.43
43, 832, 064, 0, 4, 0, 34.75, 38.31, 39.38
44, 896, 064, 37, 20, 0, 34.66, 39.27, 39.84
45, 960, 064, 0, 7, 0, 35.70, 39.09, 40.43
46, 1024, 064, 0, 4, 0, 35.26, 39.43, 40.71
47, 1088, 064, 0, 1, 0, 35.25, 39.34, 40.44
48, 1152, 064, 0, 0, 0, 35.61, 40.17, 39.96
49, 1216, 064, 37, 31, 0, 35.30, 40.45, 40.48
50, 1280, 064, 0, 1, 0, 35.86, 42.85, 41.15
51, 1344, 064, 0, 28, 0, 35.32, 44.55, 42.29
52, 1408, 064, 37, 29, 0, 34.87, 41.62, 41.25
53, 1472, 064, 0, 5, 0, 33.75, 41.20, 41.46
54, 1536, 064, 0, 3, 0, 33.96, 41.70, 40.74
55, 1600, 064, 37, 30, 0, 32.35, 41.73, 38.85
56, 1664, 064, 37, 37, 1, 33.68, 41.70, 38.24
57, 1728, 064, 37, 60, 1, 31.91, 40.95, 39.05
58, 1792, 064, 0, 48, 0, 33.09, 40.53, 39.14
59, 1856, 064, 37, 53, 0, 33.01, 41.48, 39.43
60, 000, 128, 0, 4, 0, 35.18, 38.39, 41.65
61, 064, 128, 0, 2, 0, 34.41, 38.87, 40.79
62, 128, 128, 0, 5, 0, 35.21, 40.50, 43.31
63, 192, 128, 0, 7, 0, 38.73, 42.38, 43.34
64, 256, 128, 0, 2, 0, 34.42, 40.54, 38.55
65, 320, 128, 37, 45, 0, 33.54, 38.28, 38.14
66, 384, 128, 37, 19, 0, 33.54, 37.84, 38.40
67, 448, 128, 0, 8, 0, 32.85, 38.19, 39.92
68, 512, 128, 0, 28, 0, 31.77, 38.61, 38.85
69, 576, 128, 37, 40, 1, 30.97, 38.30, 37.96
70, 640, 128, 37, 46, 42, 30.55, 36.65, 37.20
71, 704, 128, 0, 25, 0, 31.34, 37.98, 37.86
72, 768, 128, 0, 7, 0, 31.66, 38.65, 38.44
73, 832, 128, 0, 5, 0, 32.28, 39.12, 38.51
74, 896, 128, 37, 42, 0, 31.02, 39.36, 38.45
75, 960, 128, 0, 30, 0, 32.44, 38.35, 38.80
76, 1024, 128, 0, 34, 0, 33.06, 38.09, 38.45
77, 1088, 128, 0, 15, 0, 33.31, 37.80, 38.32
78, 1152, 128, 0, 25, 0, 33.20, 38.16, 38.33
79, 1216, 128, 0, 10, 0, 32.99, 37.67, 37.98
80, 1280, 128, 0, 23, 0, 34.23, 38.33, 40.20
81, 1344, 128, 0, 5, 0, 33.83, 38.73, 39.94
82, 1408, 128, 0, 7, 0, 33.46, 37.37, 37.46
83, 1472, 128, 0, 4, 0, 34.00, 39.04, 37.68
84, 1536, 128, 0, 3, 0, 35.09, 39.24, 38.88
85, 1600, 128, 0, 6, 0, 36.74, 41.59, 42.66
86, 1664, 128, 0, 5, 0, 37.62, 42.19, 43.82
87, 1728, 128, 0, 6, 0, 37.74, 42.54, 42.02
88, 1792, 128, 0, 6, 0, 38.18, 41.99, 40.81
89, 1856, 128, 0, 5, 0, 38.10, 40.71, 42.29
90, 000, 192, 0, 7, 0, 37.43, 42.07, 46.93
91, 064, 192, 0, 5, 0, 37.32, 42.26, 45.91
92, 128, 192, 0, 5, 0, 35.34, 40.56, 42.51
93, 192, 192, 0, 5, 0, 33.84, 38.01, 38.55
94, 256, 192, 0, 5, 0, 35.73, 38.43, 40.12
95, 320, 192, 0, 3, 0, 35.47, 39.14, 40.92
96, 384, 192, 0, 6, 0, 35.16, 38.67, 41.52
97, 448, 192, 0, 4, 0, 34.96, 38.09, 40.61
98, 512, 192, 0, 6, 0, 34.43, 39.55, 41.38
99, 576, 192, 0, 6, 0, 34.22, 39.71, 40.55
100, 640, 192, 37, 38, 1, 31.59, 38.50, 39.72
101, 704, 192, 0, 4, 0, 30.77, 38.06, 38.41
102, 768, 192, 0, 9, 0, 31.31, 37.97, 39.02
103, 832, 192, 0, 3, 0, 34.17, 39.62, 41.12
104, 896, 192, 0, 12, 0, 33.96, 38.90, 40.41
105, 960, 192, 0, 2, 0, 35.23, 40.72, 40.59
106, 1024, 192, 0, 6, 0, 36.02, 41.40, 40.49
107, 1088, 192, 0, 4, 0, 35.85, 40.99, 40.31
108, 1152, 192, 0, 5, 0, 34.36, 40.59, 40.50
109, 1216, 192, 0, 30, 0, 34.50, 40.66, 40.52
110, 1280, 192, 0, 6, 0, 35.17, 40.97, 41.07
111, 1344, 192, 0, 13, 0, 35.61, 39.83, 41.18
112, 1408, 192, 0, 4, 0, 35.36, 40.46, 41.69
113, 1472, 192, 0, 4, 0, 33.40, 39.58, 39.96
114, 1536, 192, 0, 4, 0, 35.54, 40.47, 40.32
115, 1600, 192, 0, 5, 0, 36.26, 40.35, 43.55
116, 1664, 192, 0, 5, 0, 34.59, 40.76, 41.72
117, 1728, 192, 0, 11, 0, 33.42, 38.51, 39.37
118, 1792, 192, 0, 2, 0, 34.02, 39.33, 39.26
119, 1856, 192, 0, 9, 0, 34.34, 39.01, 39.65
120, 000, 256, 0, 7, 0, 34.41, 41.59, 46.77
121, 064, 256, 0, 4, 0, 36.87, 40.61, 43.98
122, 128, 256, 0, 5, 0, 36.00, 41.15, 46.55
123, 192, 256, 0, 4, 0, 37.07, 41.52, 44.98
124, 256, 256, 0, 4, 0, 36.77, 44.20, 46.60
125, 320, 256, 0, 5, 0, 35.15, 44.65, 45.02
126, 384, 256, 37, 153, 6, 34.22, 41.97, 41.97
127, 448, 256, 37, 47, 0, 35.06, 41.22, 42.63
128, 512, 256, 37, 87, 0, 31.81, 38.81, 40.99
129, 576, 256, 37, 135, 90, 32.67, 39.71, 41.61
130, 640, 256, 37, 40, 11, 32.93, 40.62, 42.55
131, 704, 256, 0, 6, 0, 32.69, 41.79, 42.98
132, 768, 256, 0, 14, 0, 33.97, 41.45, 43.35
133, 832, 256, 0, 5, 0, 34.46, 42.13, 44.61
134, 896, 256, 0, 5, 0, 35.15, 43.60, 45.77
135, 960, 256, 0, 4, 0, 36.67, 45.49, 47.11
136, 1024, 256, 0, 3, 0, 36.67, 46.18, 46.68
137, 1088, 256, 0, 2, 0, 36.18, 45.53, 46.49
138, 1152, 256, 0, 2, 0, 36.88, 45.42, 45.47
139, 1216, 256, 0, 2, 0, 35.57, 45.46, 44.41
140, 1280, 256, 0, 7, 0, 36.69, 46.26, 47.33
141, 1344, 256, 0, 7, 0, 36.25, 45.94, 46.16
142, 1408, 256, 0, 4, 0, 36.33, 46.12, 45.50
143, 1472, 256, 0, 2, 0, 35.34, 43.48, 44.27
144, 1536, 256, 0, 2, 0, 34.46, 42.40, 43.33
145, 1600, 256, 0, 2, 0, 35.81, 45.38, 44.27
146, 1664, 256, 0, 1, 0, 35.76, 44.51, 43.81
147, 1728, 256, 0, 2, 0, 31.46, 37.36, 36.71
