CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 19, 12, 39.40, 46.03, 46.42
1, 032, 000, 37, 10, 22, 40.51, 48.99, 48.85
2, 064, 000, 37, 7, 22, 39.18, 47.59, 47.13
3, 096, 000, 37, 7, 22, 40.69, 47.87, 45.58
4, 128, 000, 37, 7, 46, 38.19, 47.07, 43.93
5, 160, 000, 37, 31, 1, 38.75, 44.63, 44.05
6, 192, 000, 0, 3, 0, 39.95, 47.44, 48.01
7, 224, 000, 0, 2, 0, 39.90, 48.38, 48.83
8, 256, 000, 37, 9, 14, 40.51, 49.88, 49.96
9, 288, 000, 0, 2, 0, 40.60, 47.76, 45.22
10, 320, 000, 37, 20, 1, 40.94, 47.01, 44.95
11, 352, 000, 0, 6, 0, 39.87, 46.10, 46.07
12, 384, 000, 37, 7, 8, 39.74, 45.95, 45.04
13, 416, 000, 37, 5, 5, 40.52, 46.69, 47.36
14, 448, 000, 0, 3, 0, 36.36, 45.99, 43.74
15, 480, 000, 37, 7, 13, 39.77, 47.26, 47.66
16, 512, 000, 37, 5, 16, 39.68, 44.93, 48.79
17, 544, 000, 0, 2, 0, 40.92, 49.38, 45.28
18, 576, 000, 0, 2, 0, 38.38, 48.67, 49.12
19, 608, 000, 0, 1, 0, 39.08, 47.63, 48.23
20, 640, 000, 0, 1, 0, 38.33, 49.43, 48.93
21, 672, 000, 0, 1, 0, 37.71, 48.99, 49.10
22, 704, 000, 0, 1, 0, 38.17, 48.43, 48.58
23, 736, 000, 37, 19, 1, 39.93, 47.13, 46.81
24, 768, 000, 0, 2, 0, 39.25, 44.35, 43.53
25, 800, 000, 0, 1, 0, 40.84, 47.27, 46.84
26, 832, 000, 0, 1, 0, 40.37, 47.80, 47.96
27, 864, 000, 0, 1, 0, 40.62, 47.85, 47.65
28, 896, 000, 0, 1, 0, 40.70, 48.00, 48.10
29, 928, 000, 0, 0, 0, 40.42, 47.31, 45.10
30, 960, 000, 0, 1, 0, 38.10, 45.18, 42.77
31, 992, 000, 0, 1, 0, 37.53, 48.11, 48.69
32, 1024, 000, 37, 13, 0, 38.25, 46.52, 48.99
33, 1056, 000, 37, 12, 0, 40.30, 47.20, 44.75
34, 1088, 000, 0, 1, 0, 38.08, 48.25, 48.38
35, 1120, 000, 0, 1, 0, 40.62, 48.01, 48.54
36, 1152, 000, 0, 1, 0, 40.52, 48.50, 48.15
37, 1184, 000, 0, 1, 0, 39.55, 47.90, 47.74
38, 1216, 000, 37, 10, 0, 39.49, 44.56, 45.61
39, 1248, 000, 0, 1, 0, 38.42, 44.62, 44.15
40, 1280, 000, 0, 1, 0, 39.27, 48.61, 47.95
41, 1312, 000, 0, 1, 0, 38.98, 48.18, 48.54
42, 1344, 000, 37, 5, 4, 38.71, 48.52, 47.34
43, 1376, 000, 0, 1, 0, 38.68, 47.76, 46.47
44, 1408, 000, 0, 1, 0, 38.15, 47.87, 46.67
45, 1440, 000, 0, 0, 0, 39.65, 47.49, 47.63
46, 1472, 000, 0, 1, 0, 38.56, 44.80, 44.95
47, 1504, 000, 0, 1, 0, 37.66, 44.38, 47.19
48, 1536, 000, 0, 0, 0, 38.64, 45.77, 46.71
49, 1568, 000, 0, 1, 0, 37.59, 37.25, 39.37
50, 1600, 000, 37, 10, 7, 38.73, 45.24, 41.48
51, 1632, 000, 0, 1, 0, 37.86, 42.69, 40.99
52, 1664, 000, 0, 0, 0, 38.51, 48.48, 45.81
53, 1696, 000, 37, 6, 25, 38.38, 45.36, 44.45
54, 1728, 000, 0, 1, 0, 38.78, 48.16, 46.50
55, 1760, 000, 37, 6, 10, 40.85, 46.86, 45.01
56, 1792, 000, 0, 1, 0, 40.74, 46.52, 44.10
57, 1824, 000, 0, 0, 0, 40.02, 44.75, 44.56
58, 1856, 000, 0, 1, 0, 40.51, 47.40, 47.50
59, 1888, 000, 0, 1, 0, 40.27, 49.38, 48.54
60, 000, 032, 37, 13, 20, 41.09, 46.86, 47.07
61, 032, 032, 37, 4, 15, 40.11, 46.59, 46.76
62, 064, 032, 37, 4, 24, 39.66, 48.10, 47.90
63, 096, 032, 37, 4, 18, 40.11, 46.26, 47.29
64, 128, 032, 0, 2, 0, 37.57, 46.07, 45.01
65, 160, 032, 0, 0, 0, 39.37, 44.43, 46.23
66, 192, 032, 37, 17, 1, 39.45, 48.54, 46.78
67, 224, 032, 37, 5, 12, 38.66, 45.80, 47.80
68, 256, 032, 37, 4, 20, 39.00, 47.62, 48.99
69, 288, 032, 0, 7, 0, 40.38, 47.50, 47.82
70, 320, 032, 37, 24, 0, 40.64, 46.02, 46.34
71, 352, 032, 0, 6, 0, 40.47, 44.96, 49.47
72, 384, 032, 37, 5, 17, 39.67, 45.00, 45.56
73, 416, 032, 37, 3, 15, 40.42, 47.76, 48.45
74, 448, 032, 37, 5, 12, 38.40, 46.46, 44.21
75, 480, 032, 37, 4, 11, 40.54, 45.58, 47.96
76, 512, 032, 37, 3, 16, 40.42, 44.72, 45.47
77, 544, 032, 0, 1, 0, 41.01, 49.61, 47.66
78, 576, 032, 0, 23, 0, 38.70, 48.60, 47.11
79, 608, 032, 0, 1, 0, 40.46, 47.65, 47.30
80, 640, 032, 0, 1, 0, 40.16, 48.18, 50.17
81, 672, 032, 0, 8, 0, 38.24, 47.85, 49.18
82, 704, 032, 0, 5, 0, 40.98, 48.91, 48.73
83, 736, 032, 37, 10, 0, 39.44, 47.18, 48.27
84, 768, 032, 0, 1, 0, 40.32, 44.92, 44.35
85, 800, 032, 37, 6, 9, 40.22, 45.54, 48.06
86, 832, 032, 0, 2, 0, 39.00, 46.90, 50.63
87, 864, 032, 0, 0, 0, 39.51, 46.60, 47.36
88, 896, 032, 0, 1, 0, 40.47, 47.63, 47.46
89, 928, 032, 0, 1, 0, 39.48, 44.96, 45.59
90, 960, 032, 0, 0, 0, 38.13, 46.07, 50.25
91, 992, 032, 0, 1, 0, 37.59, 49.57, 50.63
92, 1024, 032, 0, 1, 0, 36.99, 50.06, 49.59
93, 1056, 032, 37, 5, 6, 38.52, 43.74, 45.51
94, 1088, 032, 0, 1, 0, 38.24, 49.29, 47.16
95, 1120, 032, 0, 22, 0, 39.73, 49.01, 48.05
96, 1152, 032, 37, 15, 0, 39.35, 48.32, 47.96
97, 1184, 032, 0, 4, 0, 39.39, 48.05, 47.44
98, 1216, 032, 0, 3, 0, 38.80, 44.67, 44.59
99, 1248, 032, 0, 1, 0, 38.66, 44.76, 47.20
100, 1280, 032, 0, 1, 0, 39.15, 46.30, 46.21
101, 1312, 032, 37, 6, 8, 38.20, 47.73, 47.09
102, 1344, 032, 37, 3, 14, 38.33, 47.56, 46.50
103, 1376, 032, 0, 1, 0, 35.18, 46.65, 45.28
104, 1408, 032, 37, 11, 29, 36.06, 46.21, 44.09
105, 1440, 032, 37, 17, 1, 35.64, 46.60, 44.05
106, 1472, 032, 0, 3, 0, 37.37, 44.35, 45.96
107, 1504, 032, 0, 1, 0, 37.27, 46.52, 46.82
108, 1536, 032, 0, 1, 0, 37.36, 46.60, 46.37
109, 1568, 032, 0, 1, 0, 37.64, 41.55, 39.75
110, 1600, 032, 0, 4, 0, 38.02, 43.12, 41.21
