CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 26, 27, 37.03, 40.27, 37.12
1, 032, 000, 37, 8, 43, 38.81, 45.10, 46.51
2, 064, 000, 37, 7, 44, 37.75, 44.40, 42.35
3, 096, 000, 37, 7, 40, 38.62, 44.62, 44.07
4, 128, 000, 37, 6, 27, 40.09, 46.37, 44.04
5, 160, 000, 37, 6, 24, 38.20, 44.45, 46.43
6, 192, 000, 37, 5, 28, 37.69, 46.54, 45.70
7, 224, 000, 37, 28, 34, 34.80, 44.65, 44.86
8, 256, 000, 37, 10, 87, 37.45, 46.18, 45.36
9, 288, 000, 37, 5, 78, 36.00, 44.61, 44.67
10, 320, 000, 37, 19, 35, 35.99, 45.48, 45.29
11, 352, 000, 37, 6, 18, 40.58, 47.46, 45.54
12, 384, 000, 37, 27, 1, 38.58, 43.13, 43.83
13, 416, 000, 0, 3, 0, 38.39, 47.15, 45.15
14, 448, 000, 37, 11, 0, 40.59, 46.80, 45.17
15, 480, 000, 0, 3, 0, 38.88, 46.90, 47.84
16, 512, 000, 0, 2, 0, 40.07, 47.19, 46.46
17, 544, 000, 0, 1, 0, 37.81, 46.03, 48.54
18, 576, 000, 0, 2, 0, 39.68, 46.43, 46.60
19, 608, 000, 0, 1, 0, 40.69, 47.11, 47.92
20, 640, 000, 0, 1, 0, 38.67, 45.10, 45.60
21, 672, 000, 0, 1, 0, 37.97, 46.42, 44.64
22, 704, 000, 0, 1, 0, 38.84, 46.47, 46.38
23, 736, 000, 0, 1, 0, 39.61, 46.40, 45.78
24, 768, 000, 0, 1, 0, 38.79, 48.10, 48.03
25, 800, 000, 0, 1, 0, 40.40, 47.71, 47.96
26, 832, 000, 0, 5, 0, 40.54, 47.05, 46.74
27, 864, 000, 0, 1, 0, 39.16, 47.82, 47.38
28, 896, 000, 0, 1, 0, 37.91, 47.49, 47.76
29, 928, 000, 0, 1, 0, 38.84, 45.07, 47.07
30, 960, 000, 37, 5, 10, 38.41, 46.63, 47.65
31, 992, 000, 37, 18, 1, 38.60, 43.09, 44.94
32, 1024, 000, 0, 2, 0, 40.25, 47.01, 47.66
33, 1056, 000, 0, 1, 0, 40.51, 44.40, 43.76
34, 1088, 000, 0, 0, 0, 39.96, 47.88, 47.43
35, 1120, 000, 0, 1, 0, 40.99, 47.77, 47.77
36, 1152, 000, 0, 1, 0, 39.87, 43.38, 43.96
37, 1184, 000, 0, 0, 0, 36.22, 41.15, 43.11
38, 1216, 000, 0, 1, 0, 36.46, 48.10, 49.93
