CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 66, 1, 36.81, 42.11, 40.02
1, 064, 000, 37, 90, 1, 32.83, 39.38, 39.31
2, 128, 000, 0, 17, 0, 33.24, 40.37, 39.24
3, 192, 000, 37, 36, 36, 34.74, 41.88, 42.66
4, 256, 000, 0, 8, 0, 36.06, 42.70, 40.88
5, 320, 000, 0, 6, 0, 35.24, 43.62, 42.03
6, 384, 000, 0, 20, 0, 36.48, 45.25, 44.65
7, 448, 000, 37, 35, 1, 35.83, 45.29, 44.70
8, 512, 000, 0, 11, 0, 35.73, 44.59, 43.95
9, 576, 000, 0, 5, 0, 37.82, 46.71, 45.49
10, 640, 000, 0, 4, 0, 35.83, 43.96, 42.54
11, 704, 000, 0, 4, 0, 36.57, 45.64, 44.54
12, 768, 000, 0, 3, 0, 38.09, 44.78, 44.17
13, 832, 000, 0, 3, 0, 38.31, 45.32, 43.72
14, 896, 000, 0, 2, 0, 37.95, 43.13, 42.49
15, 960, 000, 0, 3, 0, 38.49, 43.77, 42.98
16, 1024, 000, 0, 6, 0, 38.65, 45.21, 42.66
17, 1088, 000, 0, 12, 0, 38.40, 44.67, 44.11
18, 1152, 000, 0, 5, 0, 38.83, 45.07, 43.86
19, 1216, 000, 0, 3, 0, 37.09, 42.17, 44.08
20, 1280, 000, 0, 3, 0, 39.50, 46.42, 45.55
21, 1344, 000, 0, 2, 0, 39.01, 45.86, 45.50
22, 1408, 000, 0, 2, 0, 36.56, 40.98, 43.32
23, 1472, 000, 0, 1, 0, 36.72, 43.37, 45.12
24, 1536, 000, 0, 2, 0, 38.17, 46.05, 44.90
25, 1600, 000, 0, 1, 0, 38.26, 45.90, 44.55
26, 1664, 000, 0, 1, 0, 38.15, 45.09, 43.79
27, 1728, 000, 0, 2, 0, 36.98, 43.16, 43.11
28, 1792, 000, 0, 1, 0, 36.75, 46.37, 44.07
29, 1856, 000, 0, 21, 0, 36.34, 44.43, 43.32
30, 000, 064, 0, 4, 0, 37.62, 41.83, 46.85
31, 064, 064, 0, 13, 0, 38.65, 42.07, 44.31
32, 128, 064, 0, 8, 0, 34.98, 40.35, 40.38
33, 192, 064, 37, 51, 0, 32.19, 39.31, 37.04
34, 256, 064, 0, 8, 0, 33.14, 40.76, 40.50
35, 320, 064, 0, 2, 0, 35.75, 43.43, 42.88
36, 384, 064, 0, 4, 0, 35.39, 41.72, 41.44
37, 448, 064, 0, 4, 0, 35.93, 39.30, 39.06
38, 512, 064, 0, 5, 0, 34.88, 38.64, 38.94
39, 576, 064, 0, 5, 0, 34.49, 37.55, 38.03
40, 640, 064, 37, 35, 0, 33.12, 38.98, 37.77
41, 704, 064, 0, 6, 0, 33.90, 40.62, 40.18
42, 768, 064, 0, 5, 0, 35.22, 40.84, 40.01
43, 832, 064, 0, 4, 0, 35.89, 39.52, 40.44
44, 896, 064, 0, 19, 0, 35.29, 40.70, 40.98
45, 960, 064, 0, 11, 0, 36.00, 39.04, 40.87
46, 1024, 064, 0, 2, 0, 35.99, 39.19, 41.02
47, 1088, 064, 0, 8, 0, 35.88, 39.26, 40.32
48, 1152, 064, 0, 2, 0, 37.10, 39.55, 39.53
49, 1216, 064, 0, 22, 0, 34.76, 40.24, 40.47
50, 1280, 064, 0, 22, 0, 36.98, 43.58, 40.52
