CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 0, 21, 0, 36.03, 47.16, 45.48
1, 032, 000, 37, 26, 4, 39.57, 47.66, 48.81
2, 064, 000, 37, 8, 26, 39.19, 47.47, 46.80
3, 096, 000, 0, 3, 0, 33.98, 44.54, 44.72
4, 128, 000, 37, 12, 69, 35.53, 43.74, 43.33
5, 160, 000, 37, 7, 50, 37.68, 44.32, 43.61
6, 192, 000, 37, 6, 30, 40.22, 46.94, 48.25
7, 224, 000, 37, 32, 0, 39.06, 44.51, 44.48
8, 256, 000, 0, 3, 0, 40.03, 48.85, 47.84
9, 288, 000, 37, 11, 1, 39.47, 45.91, 46.17
10, 320, 000, 37, 18, 0, 40.39, 47.04, 46.78
11, 352, 000, 0, 3, 0, 38.63, 48.11, 46.39
12, 384, 000, 0, 2, 0, 40.79, 45.82, 48.97
13, 416, 000, 0, 1, 0, 38.99, 45.22, 47.47
14, 448, 000, 0, 2, 0, 39.56, 43.53, 47.19
15, 480, 000, 0, 1, 0, 39.20, 47.15, 46.54
16, 512, 000, 37, 8, 9, 40.08, 47.37, 47.38
17, 544, 000, 37, 5, 15, 39.92, 45.43, 44.30
18, 576, 000, 37, 20, 0, 39.84, 46.64, 46.86
19, 608, 000, 0, 17, 0, 39.84, 48.54, 48.10
20, 640, 000, 0, 2, 0, 39.38, 48.41, 48.71
21, 672, 000, 0, 2, 0, 39.40, 47.74, 48.56
22, 704, 000, 0, 1, 0, 38.67, 47.98, 47.85
23, 736, 000, 0, 1, 0, 39.82, 48.93, 48.60
24, 768, 000, 0, 1, 0, 38.61, 48.75, 48.45
25, 800, 000, 0, 1, 0, 38.45, 47.12, 48.05
26, 832, 000, 37, 7, 40, 39.28, 44.43, 43.77
27, 864, 000, 37, 6, 17, 40.06, 47.68, 46.71
28, 896, 000, 37, 4, 19, 39.67, 47.07, 46.36
29, 928, 000, 0, 2, 0, 39.40, 47.54, 47.46
30, 960, 000, 37, 6, 10, 40.66, 48.03, 48.03
31, 992, 000, 37, 17, 1, 40.59, 48.36, 47.96
32, 1024, 000, 37, 11, 1, 38.04, 42.00, 41.14
33, 1056, 000, 37, 5, 40, 38.75, 48.39, 50.20
34, 1088, 000, 37, 4, 28, 38.00, 49.22, 49.16
