CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 53, 19, 34.11, 44.50, 40.80
1, 032, 000, 37, 11, 42, 38.77, 46.11, 44.42
2, 064, 000, 37, 20, 0, 37.81, 44.79, 43.34
3, 096, 000, 37, 8, 24, 39.95, 44.45, 44.62
4, 128, 000, 37, 7, 26, 39.38, 45.49, 45.56
5, 160, 000, 37, 7, 28, 37.85, 44.36, 46.47
6, 192, 000, 37, 27, 1, 35.88, 45.19, 45.10
7, 224, 000, 0, 3, 0, 32.99, 45.53, 45.36
8, 256, 000, 37, 11, 95, 37.06, 43.63, 44.91
9, 288, 000, 37, 23, 91, 35.99, 44.14, 45.09
10, 320, 000, 37, 5, 15, 39.89, 46.28, 46.11
11, 352, 000, 37, 26, 0, 39.82, 45.30, 44.57
12, 384, 000, 0, 3, 0, 38.62, 43.49, 44.21
13, 416, 000, 0, 2, 0, 39.17, 47.46, 45.82
14, 448, 000, 0, 2, 0, 40.46, 46.16, 46.39
15, 480, 000, 0, 1, 0, 38.56, 47.16, 46.59
16, 512, 000, 0, 2, 0, 38.76, 46.78, 48.30
17, 544, 000, 0, 1, 0, 39.04, 46.43, 47.88
18, 576, 000, 0, 1, 0, 39.73, 46.70, 47.59
19, 608, 000, 0, 1, 0, 39.63, 44.77, 45.54
20, 640, 000, 0, 1, 0, 38.87, 47.36, 46.76
21, 672, 000, 0, 1, 0, 38.34, 45.89, 43.86
22, 704, 000, 0, 1, 0, 39.82, 48.18, 47.76
23, 736, 000, 0, 1, 0, 39.04, 46.05, 46.45
24, 768, 000, 0, 1, 0, 40.40, 47.46, 47.27
25, 800, 000, 0, 1, 0, 39.78, 46.99, 47.51
26, 832, 000, 0, 5, 0, 40.92, 47.54, 46.61
27, 864, 000, 0, 1, 0, 38.91, 47.88, 48.27
28, 896, 000, 0, 1, 0, 38.04, 48.20, 46.58
29, 928, 000, 0, 0, 0, 39.97, 46.96, 47.63
30, 960, 000, 37, 20, 1, 39.27, 45.45, 44.59
31, 992, 000, 0, 2, 0, 39.41, 43.83, 45.27
32, 1024, 000, 0, 0, 0, 41.00, 45.58, 45.03
33, 1056, 000, 0, 5, 0, 40.31, 47.30, 46.86
34, 1088, 000, 37, 6, 11, 40.26, 47.57, 46.67
35, 1120, 000, 37, 3, 19, 40.55, 48.01, 47.88
36, 1152, 000, 37, 17, 0, 38.85, 39.91, 40.93
37, 1184, 000, 0, 2, 0, 36.92, 48.39, 50.09
38, 1216, 000, 0, 1, 0, 36.85, 48.65, 49.91
39, 1248, 000, 0, 1, 0, 36.13, 41.90, 46.55
40, 1280, 000, 0, 4, 0, 40.62, 48.13, 49.43
41, 1312, 000, 0, 1, 0, 37.64, 48.91, 48.60
42, 1344, 000, 0, 1, 0, 38.47, 48.79, 47.82
43, 1376, 000, 37, 6, 14, 40.72, 49.12, 48.03
44, 1408, 000, 37, 3, 9, 40.06, 46.77, 48.48
45, 1440, 000, 37, 17, 0, 39.56, 43.22, 42.69
46, 1472, 000, 37, 9, 0, 39.40, 45.02, 44.24
47, 1504, 000, 0, 2, 0, 39.88, 46.69, 46.52
48, 1536, 000, 0, 1, 0, 39.37, 46.76, 46.94
49, 1568, 000, 0, 0, 0, 38.07, 45.41, 43.89
50, 1600, 000, 0, 1, 0, 39.88, 47.50, 45.15
51, 1632, 000, 0, 1, 0, 39.96, 47.92, 45.12
52, 1664, 000, 0, 0, 0, 39.48, 47.90, 44.83
53, 1696, 000, 37, 11, 19, 37.82, 42.17, 48.67
54, 1728, 000, 37, 4, 5, 38.25, 49.34, 48.29
55, 1760, 000, 37, 18, 8, 35.97, 47.57, 49.29
56, 1792, 000, 37, 6, 34, 39.18, 42.83, 46.04
57, 1824, 000, 37, 4, 44, 39.07, 47.22, 45.57
58, 1856, 000, 37, 5, 61, 39.21, 41.63, 40.79
59, 1888, 000, 0, 2, 0, 38.08, 46.53, 46.55
60, 000, 032, 37, 22, 28, 36.66, 43.63, 40.91
61, 032, 032, 37, 5, 18, 37.65, 45.26, 41.30
62, 064, 032, 37, 3, 15, 39.60, 45.05, 45.89
63, 096, 032, 37, 3, 26, 39.15, 47.19, 45.59
64, 128, 032, 37, 3, 22, 39.96, 47.08, 46.92
65, 160, 032, 37, 3, 19, 40.34, 47.04, 46.04
66, 192, 032, 37, 3, 23, 40.43, 46.04, 45.87
67, 224, 032, 0, 1, 0, 38.81, 47.20, 48.45
68, 256, 032, 0, 0, 0, 38.90, 44.98, 47.98
