CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 7, 19, 39.13, 41.22, 41.31
1, 032, 000, 37, 9, 33, 40.19, 44.18, 46.30
2, 064, 000, 37, 30, 0, 39.03, 46.18, 47.77
3, 096, 000, 0, 3, 0, 38.72, 46.19, 45.43
4, 128, 000, 0, 2, 0, 36.53, 46.40, 47.13
5, 160, 000, 0, 2, 0, 33.97, 44.77, 45.67
6, 192, 000, 0, 2, 0, 32.73, 42.51, 46.30
7, 224, 000, 37, 18, 46, 33.10, 44.53, 45.14
8, 256, 000, 0, 4, 0, 38.29, 44.73, 46.34
9, 288, 000, 37, 14, 7, 38.99, 47.57, 46.21
10, 320, 000, 37, 10, 1, 39.08, 46.07, 44.15
11, 352, 000, 0, 2, 0, 39.75, 47.24, 44.75
12, 384, 000, 0, 1, 0, 38.26, 48.10, 44.97
13, 416, 000, 37, 23, 5, 38.64, 48.65, 46.81
14, 448, 000, 0, 2, 0, 38.67, 46.76, 47.85
15, 480, 000, 0, 1, 0, 38.07, 45.97, 47.80
16, 512, 000, 0, 1, 0, 39.24, 46.57, 48.13
17, 544, 000, 37, 8, 9, 39.70, 44.72, 45.50
18, 576, 000, 37, 18, 1, 39.65, 46.96, 47.43
19, 608, 000, 37, 13, 0, 39.22, 45.14, 44.28
20, 640, 000, 0, 2, 0, 40.40, 48.50, 47.92
21, 672, 000, 0, 1, 0, 40.55, 46.99, 46.35
22, 704, 000, 0, 1, 0, 39.85, 48.95, 48.71
23, 736, 000, 0, 7, 0, 40.61, 47.84, 47.90
24, 768, 000, 0, 0, 0, 39.62, 48.32, 47.65
25, 800, 000, 0, 1, 0, 39.32, 48.00, 50.09
26, 832, 000, 37, 7, 5, 40.34, 48.58, 47.46
27, 864, 000, 0, 2, 0, 37.74, 48.18, 46.46
28, 896, 000, 37, 19, 0, 38.95, 45.79, 44.47
29, 928, 000, 0, 2, 0, 39.00, 45.12, 46.66
30, 960, 000, 0, 1, 0, 40.41, 47.62, 47.56
31, 992, 000, 0, 0, 0, 39.66, 46.77, 47.54
32, 1024, 000, 0, 1, 0, 40.01, 47.66, 48.05
33, 1056, 000, 0, 1, 0, 38.88, 48.45, 47.92
34, 1088, 000, 0, 1, 0, 39.02, 41.43, 41.74
35, 1120, 000, 37, 5, 4, 37.40, 44.87, 46.14
36, 1152, 000, 37, 9, 1, 38.42, 47.88, 50.04
37, 1184, 000, 37, 26, 15, 37.17, 46.09, 46.65
38, 1216, 000, 0, 2, 0, 38.49, 44.27, 49.52
39, 1248, 000, 0, 1, 0, 39.30, 48.81, 48.65
40, 1280, 000, 0, 1, 0, 40.00, 48.23, 48.43
41, 1312, 000, 37, 18, 0, 40.50, 48.73, 48.20
42, 1344, 000, 0, 2, 0, 41.02, 47.47, 48.89
43, 1376, 000, 37, 11, 0, 39.36, 45.05, 44.90
44, 1408, 000, 0, 2, 0, 36.72, 43.94, 43.36
45, 1440, 000, 0, 1, 0, 37.23, 46.60, 47.74
46, 1472, 000, 0, 0, 0, 38.45, 47.53, 47.03
47, 1504, 000, 0, 1, 0, 36.22, 47.03, 45.15
48, 1536, 000, 0, 1, 0, 37.44, 47.62, 46.80
49, 1568, 000, 0, 6, 0, 37.50, 48.06, 46.63
50, 1600, 000, 0, 1, 0, 38.38, 44.25, 46.85
51, 1632, 000, 37, 6, 71, 38.76, 45.99, 44.61
52, 1664, 000, 37, 5, 42, 38.59, 49.38, 45.65
53, 1696, 000, 37, 19, 13, 39.79, 49.40, 49.81
54, 1728, 000, 37, 8, 7, 39.54, 44.30, 47.84
55, 1760, 000, 37, 5, 30, 37.69, 45.57, 47.44
56, 1792, 000, 37, 5, 55, 39.76, 44.15, 41.60
57, 1824, 000, 0, 2, 0, 37.20, 47.00, 47.56
58, 1856, 000, 37, 6, 10, 39.32, 47.71, 47.47
59, 1888, 000, 0, 26, 0, 35.73, 42.81, 42.95
60, 000, 032, 37, 12, 8, 39.94, 44.50, 45.48
61, 032, 032, 0, 2, 0, 38.15, 46.51, 46.69
62, 064, 032, 0, 0, 0, 37.99, 45.61, 48.08
63, 096, 032, 0, 1, 0, 39.72, 45.58, 45.75
64, 128, 032, 0, 1, 0, 39.46, 47.65, 47.76
65, 160, 032, 0, 0, 0, 39.44, 45.52, 48.77
66, 192, 032, 0, 1, 0, 40.18, 45.43, 48.38
67, 224, 032, 37, 11, 1, 39.84, 45.03, 49.59
68, 256, 032, 0, 0, 0, 39.87, 43.56, 46.57
69, 288, 032, 0, 7, 0, 39.48, 46.67, 47.38
70, 320, 032, 0, 5, 0, 39.00, 46.60, 44.30
71, 352, 032, 37, 16, 0, 39.07, 46.18, 46.06
72, 384, 032, 0, 1, 0, 39.21, 46.43, 46.44
73, 416, 032, 0, 1, 0, 38.19, 46.91, 47.77
74, 448, 032, 0, 1, 0, 40.32, 45.81, 47.76
75, 480, 032, 0, 1, 0, 39.47, 49.22, 47.87
76, 512, 032, 0, 0, 0, 40.25, 47.85, 47.44
77, 544, 032, 0, 1, 0, 40.28, 47.47, 45.16
78, 576, 032, 0, 1, 0, 39.45, 47.37, 48.38
79, 608, 032, 0, 4, 0, 39.50, 45.41, 43.75
80, 640, 032, 0, 1, 0, 39.97, 47.43, 46.46
81, 672, 032, 0, 1, 0, 38.90, 46.38, 46.78
82, 704, 032, 0, 0, 0, 40.62, 48.29, 49.10
83, 736, 032, 0, 1, 0, 39.45, 47.11, 49.22
84, 768, 032, 0, 0, 0, 41.11, 46.78, 49.20
85, 800, 032, 0, 5, 0, 40.36, 47.54, 49.52
86, 832, 032, 37, 6, 9, 40.72, 48.16, 45.55
87, 864, 032, 0, 4, 0, 40.56, 47.82, 44.87
88, 896, 032, 0, 0, 0, 39.79, 43.40, 45.42
89, 928, 032, 0, 1, 0, 38.93, 43.34, 44.28
90, 960, 032, 0, 1, 0, 38.41, 46.54, 48.58
91, 992, 032, 0, 0, 0, 39.86, 46.52, 49.10
92, 1024, 032, 0, 1, 0, 39.73, 47.84, 48.50
93, 1056, 032, 0, 0, 0, 39.81, 47.71, 47.03
94, 1088, 032, 0, 1, 0, 39.62, 43.90, 44.58
95, 1120, 032, 0, 0, 0, 37.57, 45.51, 46.21
96, 1152, 032, 0, 1, 0, 37.41, 48.81, 50.37
97, 1184, 032, 0, 5, 0, 39.21, 43.53, 48.93
98, 1216, 032, 0, 1, 0, 39.07, 41.47, 43.01
99, 1248, 032, 0, 0, 0, 39.67, 48.97, 48.93
100, 1280, 032, 37, 8, 9, 39.66, 49.25, 47.95
101, 1312, 032, 37, 5, 13, 38.94, 48.10, 47.59
102, 1344, 032, 0, 4, 0, 39.40, 46.90, 46.89
103, 1376, 032, 37, 6, 13, 38.70, 44.62, 44.10
104, 1408, 032, 37, 24, 18, 39.08, 45.62, 45.60
105, 1440, 032, 0, 1, 0, 37.42, 46.58, 44.87
106, 1472, 032, 0, 1, 0, 37.13, 47.24, 45.61
107, 1504, 032, 37, 5, 22, 37.86, 45.57, 44.56
108, 1536, 032, 0, 28, 0, 33.98, 45.40, 44.93
109, 1568, 032, 37, 36, 46, 36.92, 46.04, 42.66
110, 1600, 032, 0, 8, 0, 34.68, 45.80, 42.22
111, 1632, 032, 0, 2, 0, 36.15, 41.52, 44.63
112, 1664, 032, 0, 4, 0, 38.80, 46.39, 46.76
113, 1696, 032, 0, 4, 0, 38.24, 47.31, 50.37
114, 1728, 032, 0, 1, 0, 38.47, 46.74, 48.87
115, 1760, 032, 37, 6, 49, 37.65, 42.59, 44.32
