CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 40, 37, 36.77, 39.97, 37.44
1, 032, 000, 37, 9, 51, 38.59, 45.50, 45.19
2, 064, 000, 37, 8, 33, 37.74, 46.58, 45.84
3, 096, 000, 37, 7, 32, 37.81, 44.85, 42.01
4, 128, 000, 37, 6, 42, 38.85, 44.25, 42.70
5, 160, 000, 37, 7, 24, 39.68, 47.15, 46.99
6, 192, 000, 37, 30, 0, 38.03, 46.92, 47.15
7, 224, 000, 0, 3, 0, 37.17, 47.22, 46.07
8, 256, 000, 0, 2, 0, 33.60, 43.74, 44.07
9, 288, 000, 37, 29, 94, 37.21, 45.35, 45.11
10, 320, 000, 37, 5, 92, 36.48, 45.26, 43.79
11, 352, 000, 37, 20, 51, 37.09, 46.72, 45.54
12, 384, 000, 37, 6, 18, 40.63, 47.31, 44.82
13, 416, 000, 37, 18, 1, 38.23, 43.56, 43.54
14, 448, 000, 0, 3, 0, 39.12, 47.46, 44.79
15, 480, 000, 0, 1, 0, 39.67, 46.46, 45.35
16, 512, 000, 0, 1, 0, 38.41, 46.78, 47.74
17, 544, 000, 0, 1, 0, 39.74, 46.70, 47.66
18, 576, 000, 0, 2, 0, 37.90, 46.37, 47.56
19, 608, 000, 0, 1, 0, 39.49, 46.43, 47.63
20, 640, 000, 0, 1, 0, 39.69, 46.28, 45.67
21, 672, 000, 0, 1, 0, 38.29, 45.60, 46.36
22, 704, 000, 0, 1, 0, 38.95, 45.43, 43.51
23, 736, 000, 0, 1, 0, 39.88, 48.11, 47.08
24, 768, 000, 0, 0, 0, 39.80, 45.68, 45.51
25, 800, 000, 0, 1, 0, 40.40, 48.54, 47.95
26, 832, 000, 0, 5, 0, 39.43, 47.59, 47.03
27, 864, 000, 0, 1, 0, 38.98, 47.34, 46.52
28, 896, 000, 0, 1, 0, 37.61, 47.11, 47.93
29, 928, 000, 0, 6, 0, 39.65, 46.26, 48.36
30, 960, 000, 0, 1, 0, 39.68, 46.20, 44.65
31, 992, 000, 37, 7, 43, 38.97, 45.55, 44.85
32, 1024, 000, 37, 18, 0, 39.64, 43.50, 43.00
33, 1056, 000, 0, 2, 0, 40.45, 47.43, 45.85
34, 1088, 000, 0, 5, 0, 39.64, 47.47, 47.15
35, 1120, 000, 37, 7, 15, 40.15, 48.29, 46.75
36, 1152, 000, 37, 5, 22, 40.05, 48.16, 47.37
37, 1184, 000, 37, 17, 0, 38.98, 43.54, 41.16
38, 1216, 000, 37, 9, 21, 37.68, 44.74, 44.83
39, 1248, 000, 0, 2, 0, 36.60, 48.87, 50.45
40, 1280, 000, 0, 1, 0, 35.54, 45.43, 46.96
41, 1312, 000, 0, 1, 0, 38.02, 41.55, 47.77
42, 1344, 000, 0, 19, 0, 39.32, 48.58, 49.01
43, 1376, 000, 0, 9, 0, 40.31, 47.60, 47.66
44, 1408, 000, 37, 8, 11, 40.80, 47.87, 47.53
45, 1440, 000, 37, 3, 8, 40.23, 47.79, 48.65
46, 1472, 000, 37, 4, 18, 40.04, 46.70, 47.87
47, 1504, 000, 37, 24, 1, 38.73, 41.92, 41.30
48, 1536, 000, 0, 2, 0, 38.83, 46.07, 45.53
49, 1568, 000, 0, 1, 0, 38.05, 45.96, 46.19
50, 1600, 000, 0, 0, 0, 39.12, 45.38, 43.65
51, 1632, 000, 0, 1, 0, 37.54, 46.67, 45.08
52, 1664, 000, 0, 1, 0, 37.00, 46.92, 44.72
53, 1696, 000, 37, 5, 9, 38.77, 46.18, 45.13
54, 1728, 000, 37, 4, 33, 39.16, 44.50, 45.74
55, 1760, 000, 37, 15, 30, 37.34, 48.77, 48.41
56, 1792, 000, 37, 3, 23, 38.73, 49.27, 48.71
57, 1824, 000, 37, 4, 32, 39.84, 48.95, 49.78
58, 1856, 000, 37, 4, 56, 39.30, 45.78, 47.15
59, 1888, 000, 37, 17, 25, 37.87, 44.16, 42.76
60, 000, 032, 37, 9, 31, 37.21, 43.98, 43.10
61, 032, 032, 37, 4, 23, 37.79, 46.20, 45.82
62, 064, 032, 37, 4, 25, 38.70, 46.23, 44.54
63, 096, 032, 37, 4, 26, 38.68, 44.90, 43.18
64, 128, 032, 37, 3, 22, 40.13, 45.57, 44.50
65, 160, 032, 0, 3, 0, 38.28, 45.06, 47.24
66, 192, 032, 0, 1, 0, 37.78, 47.37, 47.13
67, 224, 032, 0, 0, 0, 40.16, 48.00, 44.67
68, 256, 032, 0, 1, 0, 40.52, 46.09, 45.31
69, 288, 032, 37, 5, 18, 40.97, 46.53, 46.52
70, 320, 032, 37, 19, 1, 40.66, 44.83, 47.40
71, 352, 032, 37, 9, 0, 39.03, 47.54, 46.46
72, 384, 032, 0, 3, 0, 40.50, 47.54, 46.15
73, 416, 032, 0, 5, 0, 37.83, 45.70, 44.28
74, 448, 032, 0, 0, 0, 39.23, 46.23, 45.00
75, 480, 032, 0, 1, 0, 39.79, 45.45, 44.45
76, 512, 032, 37, 6, 24, 39.12, 44.91, 48.23
77, 544, 032, 0, 1, 0, 38.88, 43.22, 46.86
78, 576, 032, 0, 0, 0, 38.68, 46.11, 47.00
79, 608, 032, 0, 1, 0, 39.21, 46.89, 47.04
80, 640, 032, 0, 0, 0, 39.19, 45.42, 46.64
81, 672, 032, 0, 1, 0, 38.30, 46.64, 46.67
82, 704, 032, 0, 0, 0, 39.35, 44.40, 42.43
83, 736, 032, 0, 1, 0, 40.75, 48.56, 47.59
84, 768, 032, 0, 0, 0, 39.78, 45.82, 46.21
85, 800, 032, 0, 0, 0, 40.70, 47.54, 49.27
86, 832, 032, 0, 5, 0, 40.78, 45.96, 45.85
87, 864, 032, 0, 1, 0, 40.04, 46.38, 46.63
88, 896, 032, 0, 0, 0, 40.96, 46.52, 45.37
89, 928, 032, 0, 1, 0, 38.93, 46.94, 46.92
90, 960, 032, 37, 7, 13, 40.87, 47.85, 47.38
91, 992, 032, 0, 2, 0, 39.33, 45.78, 46.06
92, 1024, 032, 0, 1, 0, 40.44, 43.91, 43.23
93, 1056, 032, 0, 0, 0, 40.95, 46.27, 46.91
94, 1088, 032, 0, 1, 0, 39.57, 46.59, 47.51
95, 1120, 032, 0, 0, 0, 38.97, 46.50, 48.73
96, 1152, 032, 0, 1, 0, 39.76, 46.81, 46.24
97, 1184, 032, 0, 0, 0, 38.94, 43.00, 43.55
98, 1216, 032, 0, 5, 0, 36.93, 45.48, 45.85
99, 1248, 032, 0, 0, 0, 35.58, 49.36, 49.16
100, 1280, 032, 0, 1, 0, 36.33, 43.59, 49.25
101, 1312, 032, 0, 4, 0, 37.86, 41.83, 44.60
102, 1344, 032, 0, 4, 0, 38.11, 48.81, 48.83
103, 1376, 032, 0, 0, 0, 39.12, 47.76, 46.02
104, 1408, 032, 0, 1, 0, 37.87, 47.56, 46.30
105, 1440, 032, 0, 1, 0, 39.29, 47.66, 46.78
106, 1472, 032, 0, 0, 0, 37.63, 46.18, 44.26
107, 1504, 032, 0, 1, 0, 37.72, 44.51, 43.86
108, 1536, 032, 0, 0, 0, 38.18, 44.50, 43.37
109, 1568, 032, 37, 12, 0, 39.00, 45.58, 44.47
110, 1600, 032, 0, 1, 0, 38.26, 44.34, 43.29
111, 1632, 032, 37, 11, 0, 35.80, 44.84, 45.22
112, 1664, 032, 0, 1, 0, 35.93, 44.09, 43.03
113, 1696, 032, 37, 6, 59, 35.92, 43.40, 43.06
114, 1728, 032, 37, 3, 8, 37.27, 44.14, 43.66
115, 1760, 032, 37, 2, 24, 37.91, 45.66, 46.91
116, 1792, 032, 37, 3, 12, 38.73, 49.93, 50.81
117, 1824, 032, 37, 3, 27, 39.63, 49.36, 49.96
118, 1856, 032, 37, 2, 37, 38.88, 42.23, 42.82
119, 1888, 032, 37, 3, 15, 38.55, 45.87, 44.53
120, 000, 064, 37, 40, 93, 34.05, 42.74, 42.94
121, 032, 064, 37, 3, 42, 35.65, 42.53, 45.28
122, 064, 064, 37, 3, 28, 38.17, 41.90, 42.64
123, 096, 064, 37, 3, 24, 39.32, 45.99, 45.09
124, 128, 064, 37, 2, 17, 38.89, 47.74, 46.07
125, 160, 064, 37, 4, 17, 40.20, 45.51, 47.41
126, 192, 064, 37, 4, 19, 39.97, 48.81, 45.52
127, 224, 064, 37, 4, 25, 39.41, 46.99, 47.23
128, 256, 064, 37, 4, 4, 39.81, 45.91, 45.30
129, 288, 064, 0, 4, 0, 39.04, 45.69, 47.68
130, 320, 064, 0, 1, 0, 39.06, 45.10, 47.07
131, 352, 064, 0, 5, 0, 38.68, 47.09, 46.65
132, 384, 064, 0, 0, 0, 37.59, 44.00, 45.18
133, 416, 064, 0, 5, 0, 36.93, 45.04, 43.38
134, 448, 064, 0, 0, 0, 37.73, 45.88, 45.92
135, 480, 064, 0, 1, 0, 36.87, 45.46, 44.90
136, 512, 064, 0, 1, 0, 37.67, 47.15, 44.99
137, 544, 064, 0, 0, 0, 39.19, 43.82, 45.73
138, 576, 064, 0, 1, 0, 39.57, 47.33, 47.19
139, 608, 064, 0, 0, 0, 39.48, 48.45, 47.34
140, 640, 064, 0, 1, 0, 38.41, 47.36, 46.89
141, 672, 064, 0, 0, 0, 38.89, 46.72, 47.43
142, 704, 064, 0, 1, 0, 38.08, 45.25, 42.84
143, 736, 064, 0, 0, 0, 38.73, 46.30, 47.46
144, 768, 064, 37, 13, 1, 39.80, 45.38, 45.76
145, 800, 064, 0, 0, 0, 40.17, 48.10, 47.30
146, 832, 064, 0, 1, 0, 40.57, 48.13, 47.74
147, 864, 064, 0, 0, 0, 40.00, 48.34, 49.01
148, 896, 064, 0, 1, 0, 40.49, 48.30, 49.59
149, 928, 064, 0, 0, 0, 39.97, 48.13, 49.91
150, 960, 064, 0, 1, 0, 39.15, 47.19, 46.96
151, 992, 064, 0, 0, 0, 38.80, 45.73, 43.17
152, 1024, 064, 0, 0, 0, 38.18, 43.24, 44.18
153, 1056, 064, 0, 1, 0, 39.89, 45.81, 43.88
154, 1088, 064, 0, 0, 0, 40.39, 45.98, 45.06
155, 1120, 064, 0, 0, 0, 40.73, 46.86, 46.19
156, 1152, 064, 0, 1, 0, 39.49, 46.02, 44.80
157, 1184, 064, 37, 6, 9, 38.28, 44.22, 44.69
158, 1216, 064, 0, 1, 0, 37.42, 46.12, 46.17
159, 1248, 064, 37, 5, 16, 37.73, 47.70, 48.10
160, 1280, 064, 37, 3, 12, 37.92, 44.28, 48.81
161, 1312, 064, 0, 6, 0, 36.99, 42.74, 43.17
162, 1344, 064, 0, 0, 0, 38.17, 46.84, 48.77
163, 1376, 064, 0, 1, 0, 38.31, 46.87, 46.42
164, 1408, 064, 0, 0, 0, 35.80, 45.90, 45.64
165, 1440, 064, 0, 1, 0, 36.53, 42.18, 42.13
166, 1472, 064, 0, 0, 0, 33.54, 40.99, 40.65
167, 1504, 064, 37, 15, 22, 34.42, 39.77, 37.76
168, 1536, 064, 0, 8, 0, 34.98, 39.61, 38.66
169, 1568, 064, 37, 21, 30, 34.65, 40.11, 38.92
170, 1600, 064, 37, 14, 121, 36.63, 39.69, 39.39
171, 1632, 064, 37, 12, 56, 36.47, 39.07, 38.80
172, 1664, 064, 37, 8, 103, 35.42, 38.60, 37.86
173, 1696, 064, 37, 8, 101, 35.77, 39.22, 39.09
174, 1728, 064, 37, 11, 72, 36.00, 40.28, 42.28
175, 1760, 064, 37, 22, 27, 32.69, 37.71, 38.84
176, 1792, 064, 37, 22, 23, 36.85, 43.88, 44.28
177, 1824, 064, 37, 3, 13, 38.91, 46.35, 49.73
178, 1856, 064, 37, 3, 32, 37.25, 43.18, 44.88
179, 1888, 064, 37, 2, 22, 37.59, 45.26, 44.37
180, 000, 096, 37, 55, 131, 33.85, 40.78, 39.02
181, 032, 096, 37, 25, 7, 33.81, 41.90, 38.66
182, 064, 096, 37, 10, 1, 34.11, 42.86, 42.38
183, 096, 096, 37, 5, 5, 35.48, 44.61, 42.58
184, 128, 096, 37, 5, 5, 35.36, 43.63, 42.63
185, 160, 096, 37, 4, 4, 35.27, 42.58, 42.13
186, 192, 096, 37, 8, 1, 33.92, 43.00, 40.89
187, 224, 096, 0, 4, 0, 34.51, 41.01, 39.38
188, 256, 096, 0, 13, 0, 35.13, 40.50, 38.16
189, 288, 096, 0, 7, 0, 35.16, 40.13, 39.42
190, 320, 096, 0, 24, 0, 35.77, 38.96, 39.90
191, 352, 096, 37, 20, 44, 33.67, 38.74, 37.17
192, 384, 096, 37, 36, 74, 34.77, 38.19, 41.17
193, 416, 096, 37, 12, 29, 33.71, 39.83, 38.21
194, 448, 096, 37, 32, 89, 32.59, 38.07, 36.88
195, 480, 096, 0, 1, 0, 31.13, 36.87, 37.55
196, 512, 096, 0, 7, 0, 32.46, 35.15, 34.91
197, 544, 096, 0, 1, 0, 31.46, 36.37, 35.24
198, 576, 096, 37, 26, 121, 35.61, 39.85, 39.59
199, 608, 096, 37, 14, 133, 35.45, 40.98, 38.72
200, 640, 096, 37, 9, 126, 35.13, 41.36, 38.48
201, 672, 096, 37, 8, 89, 35.34, 40.23, 38.17
202, 704, 096, 37, 42, 30, 34.81, 40.49, 38.85
203, 736, 096, 37, 31, 36, 33.39, 39.57, 38.24
204, 768, 096, 37, 29, 22, 33.23, 39.87, 37.94
205, 800, 096, 0, 4, 0, 33.35, 38.60, 37.20
206, 832, 096, 37, 21, 89, 35.58, 40.80, 41.99
207, 864, 096, 37, 11, 96, 35.47, 38.65, 42.26
208, 896, 096, 37, 10, 137, 36.14, 38.74, 39.68
209, 928, 096, 37, 11, 119, 35.40, 38.97, 38.76
210, 960, 096, 37, 28, 97, 35.78, 44.57, 37.03
211, 992, 096, 37, 27, 55, 34.58, 41.71, 37.20
212, 1024, 096, 37, 24, 34, 34.35, 40.97, 39.99
213, 1056, 096, 0, 10, 0, 31.21, 37.79, 36.24
214, 1088, 096, 0, 3, 0, 32.64, 36.29, 35.72
215, 1120, 096, 0, 0, 0, 33.53, 40.41, 38.74
216, 1152, 096, 37, 16, 22, 34.76, 38.96, 39.80
217, 1184, 096, 0, 5, 0, 34.26, 36.03, 38.20
218, 1216, 096, 0, 0, 0, 33.24, 37.62, 39.34
219, 1248, 096, 37, 20, 1, 33.91, 40.76, 40.83
220, 1280, 096, 0, 30, 0, 34.55, 39.17, 40.96
221, 1312, 096, 0, 1, 0, 33.92, 41.49, 40.51
