CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 0, 19, 0, 34.43, 46.07, 43.83
1, 032, 000, 37, 12, 23, 40.73, 46.90, 46.35
2, 064, 000, 37, 8, 22, 40.40, 47.79, 47.41
3, 096, 000, 37, 33, 0, 39.43, 45.98, 45.55
4, 128, 000, 37, 9, 0, 40.37, 46.67, 44.77
5, 160, 000, 37, 11, 1, 39.43, 44.69, 46.95
6, 192, 000, 0, 3, 0, 39.30, 43.11, 48.43
7, 224, 000, 0, 1, 0, 38.81, 45.45, 47.84
8, 256, 000, 0, 6, 0, 40.59, 48.52, 47.01
9, 288, 000, 0, 1, 0, 38.98, 46.63, 45.12
10, 320, 000, 0, 2, 0, 39.18, 46.07, 43.92
11, 352, 000, 0, 2, 0, 37.41, 46.45, 43.19
12, 384, 000, 0, 1, 0, 36.62, 46.25, 46.85
13, 416, 000, 37, 9, 15, 39.70, 45.77, 42.84
14, 448, 000, 37, 6, 18, 39.66, 47.70, 47.01
15, 480, 000, 37, 19, 1, 40.60, 47.53, 48.25
16, 512, 000, 0, 2, 0, 40.84, 49.25, 48.10
17, 544, 000, 0, 5, 0, 41.20, 48.87, 44.32
18, 576, 000, 0, 1, 0, 38.31, 47.96, 47.95
19, 608, 000, 0, 1, 0, 38.35, 49.93, 48.97
20, 640, 000, 0, 1, 0, 38.08, 48.91, 48.43
21, 672, 000, 37, 9, 13, 39.93, 48.43, 48.60
22, 704, 000, 37, 5, 9, 38.19, 48.08, 47.20
23, 736, 000, 37, 17, 0, 38.59, 44.04, 47.23
24, 768, 000, 0, 2, 0, 41.06, 48.81, 48.81
25, 800, 000, 0, 1, 0, 40.99, 46.99, 48.41
26, 832, 000, 0, 1, 0, 40.39, 47.26, 48.15
27, 864, 000, 0, 1, 0, 39.69, 45.93, 46.89
28, 896, 000, 0, 1, 0, 40.05, 46.27, 45.14
29, 928, 000, 0, 1, 0, 37.76, 44.25, 41.79
30, 960, 000, 0, 1, 0, 37.35, 48.77, 48.39
31, 992, 000, 0, 0, 0, 38.35, 47.54, 49.05
32, 1024, 000, 0, 1, 0, 38.13, 45.36, 43.77
33, 1056, 000, 0, 1, 0, 38.69, 49.03, 48.30
34, 1088, 000, 0, 0, 0, 40.21, 48.63, 48.25
