CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 100, 8, 37.09, 41.90, 40.35
1, 064, 000, 37, 55, 10, 32.91, 39.62, 39.81
2, 128, 000, 37, 73, 0, 32.74, 39.95, 39.31
3, 192, 000, 0, 9, 0, 34.48, 42.72, 43.02
4, 256, 000, 0, 5, 0, 35.10, 42.18, 41.00
5, 320, 000, 0, 5, 0, 34.75, 43.96, 42.25
6, 384, 000, 0, 23, 0, 36.32, 45.07, 44.76
7, 448, 000, 0, 17, 0, 34.16, 45.21, 44.41
8, 512, 000, 0, 4, 0, 35.06, 44.57, 43.75
9, 576, 000, 0, 3, 0, 36.65, 46.56, 45.07
10, 640, 000, 37, 35, 1, 37.64, 43.96, 42.97
11, 704, 000, 0, 3, 0, 37.65, 45.60, 45.17
12, 768, 000, 0, 4, 0, 37.86, 44.98, 44.43
13, 832, 000, 0, 3, 0, 38.20, 45.08, 44.08
14, 896, 000, 0, 3, 0, 38.54, 43.16, 42.40
15, 960, 000, 0, 2, 0, 38.76, 43.54, 42.93
16, 1024, 000, 0, 3, 0, 38.97, 45.64, 43.23
17, 1088, 000, 0, 7, 0, 38.38, 44.79, 44.54
18, 1152, 000, 0, 2, 0, 38.20, 45.06, 43.08
19, 1216, 000, 0, 6, 0, 38.01, 42.33, 44.04
20, 1280, 000, 0, 2, 0, 39.40, 46.19, 45.14
21, 1344, 000, 0, 2, 0, 39.15, 45.64, 45.49
22, 1408, 000, 0, 2, 0, 36.80, 41.44, 42.83
23, 1472, 000, 0, 2, 0, 35.98, 44.21, 44.86
24, 1536, 000, 0, 1, 0, 38.45, 45.62, 45.37
25, 1600, 000, 0, 1, 0, 36.74, 45.60, 43.86
26, 1664, 000, 37, 29, 0, 36.55, 44.63, 43.53
27, 1728, 000, 0, 8, 0, 38.13, 43.34, 44.14
28, 1792, 000, 0, 23, 0, 37.44, 45.79, 43.21
29, 1856, 000, 0, 5, 0, 35.57, 44.35, 43.51
30, 000, 064, 0, 14, 0, 37.71, 41.13, 46.20
31, 064, 064, 0, 19, 0, 38.38, 42.25, 44.37
32, 128, 064, 0, 15, 0, 35.30, 40.37, 41.04
33, 192, 064, 37, 36, 0, 31.84, 39.59, 37.27
34, 256, 064, 37, 26, 0, 31.73, 40.87, 39.70
35, 320, 064, 0, 6, 0, 36.12, 42.67, 42.54
36, 384, 064, 0, 2, 0, 35.66, 42.28, 41.74
37, 448, 064, 0, 3, 0, 35.24, 40.09, 39.25
38, 512, 064, 0, 2, 0, 34.60, 39.42, 39.11
39, 576, 064, 37, 46, 0, 33.93, 38.26, 37.32
40, 640, 064, 37, 29, 0, 33.99, 38.57, 37.16
41, 704, 064, 0, 3, 0, 34.04, 39.22, 40.15
42, 768, 064, 0, 5, 0, 34.85, 39.51, 40.77
43, 832, 064, 0, 2, 0, 35.44, 39.05, 40.60
44, 896, 064, 0, 6, 0, 34.74, 40.05, 40.45
45, 960, 064, 0, 2, 0, 35.94, 39.12, 40.77
46, 1024, 064, 0, 5, 0, 35.81, 39.91, 40.87
47, 1088, 064, 0, 9, 0, 35.20, 39.34, 40.30
48, 1152, 064, 0, 4, 0, 36.21, 39.77, 39.51
49, 1216, 064, 0, 2, 0, 34.84, 39.95, 40.38
50, 1280, 064, 0, 2, 0, 36.93, 43.77, 40.59
51, 1344, 064, 0, 2, 0, 36.31, 44.60, 41.95
52, 1408, 064, 0, 1, 0, 35.44, 41.59, 41.35
53, 1472, 064, 0, 2, 0, 33.34, 40.57, 41.00
54, 1536, 064, 0, 1, 0, 34.00, 42.62, 40.62
55, 1600, 064, 0, 1, 0, 31.98, 41.77, 38.78
56, 1664, 064, 0, 15, 0, 33.11, 41.99, 38.47
57, 1728, 064, 0, 26, 0, 32.91, 41.22, 39.31
58, 1792, 064, 0, 31, 0, 32.85, 40.45, 39.21
59, 1856, 064, 37, 48, 0, 33.68, 41.49, 39.21
60, 000, 128, 0, 4, 0, 34.62, 37.81, 41.48
61, 064, 128, 0, 3, 0, 34.60, 39.85, 40.86
62, 128, 128, 0, 7, 0, 36.46, 39.39, 42.60
63, 192, 128, 0, 11, 0, 38.62, 42.45, 42.84
64, 256, 128, 0, 6, 0, 34.69, 40.17, 38.14
65, 320, 128, 0, 3, 0, 34.23, 38.96, 38.16
66, 384, 128, 0, 22, 0, 32.76, 37.88, 38.26
67, 448, 128, 0, 31, 0, 32.37, 40.22, 40.00
68, 512, 128, 37, 34, 0, 32.01, 39.63, 38.94
69, 576, 128, 0, 38, 0, 31.82, 38.88, 37.37
70, 640, 128, 0, 7, 0, 31.65, 37.60, 37.28
71, 704, 128, 0, 3, 0, 32.12, 38.64, 38.38
72, 768, 128, 0, 3, 0, 32.80, 38.92, 39.03
73, 832, 128, 0, 2, 0, 33.34, 38.90, 39.03
74, 896, 128, 0, 2, 0, 31.82, 38.72, 38.52
75, 960, 128, 0, 4, 0, 33.60, 38.28, 39.16
76, 1024, 128, 0, 2, 0, 33.41, 38.30, 39.16
