CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 0, 23, 0, 32.16, 46.43, 48.00
1, 032, 000, 37, 13, 34, 39.02, 44.23, 44.30
2, 064, 000, 37, 9, 17, 39.41, 48.11, 46.55
3, 096, 000, 37, 7, 26, 39.97, 48.11, 45.04
4, 128, 000, 37, 32, 1, 40.60, 47.16, 45.15
5, 160, 000, 0, 3, 0, 39.87, 48.06, 47.18
6, 192, 000, 0, 2, 0, 40.70, 49.91, 48.93
7, 224, 000, 0, 2, 0, 40.21, 48.47, 47.16
8, 256, 000, 0, 1, 0, 39.62, 46.39, 45.00
9, 288, 000, 0, 2, 0, 38.48, 47.53, 46.04
10, 320, 000, 0, 1, 0, 40.33, 45.89, 46.39
11, 352, 000, 37, 8, 32, 39.94, 46.19, 44.69
12, 384, 000, 37, 7, 26, 39.96, 46.35, 47.13
13, 416, 000, 37, 6, 19, 40.45, 47.09, 44.50
14, 448, 000, 0, 2, 0, 41.07, 48.60, 46.40
15, 480, 000, 0, 1, 0, 39.36, 48.95, 44.76
16, 512, 000, 0, 1, 0, 38.86, 47.96, 45.89
17, 544, 000, 0, 2, 0, 39.54, 49.29, 44.92
18, 576, 000, 0, 1, 0, 38.41, 48.65, 49.18
19, 608, 000, 37, 6, 15, 40.29, 48.30, 48.97
20, 640, 000, 37, 6, 9, 38.91, 48.16, 47.01
21, 672, 000, 37, 6, 64, 39.35, 45.90, 46.82
22, 704, 000, 37, 5, 26, 39.99, 48.29, 47.70
23, 736, 000, 37, 4, 19, 40.99, 46.59, 47.24
24, 768, 000, 37, 4, 9, 40.44, 46.78, 47.93
25, 800, 000, 37, 4, 12, 40.34, 46.13, 47.93
26, 832, 000, 37, 4, 10, 39.51, 45.34, 47.43
27, 864, 000, 37, 18, 1, 38.57, 44.58, 42.11
28, 896, 000, 0, 2, 0, 37.58, 48.99, 48.73
29, 928, 000, 0, 1, 0, 38.69, 48.06, 48.63
30, 960, 000, 0, 1, 0, 38.49, 44.25, 44.06
31, 992, 000, 0, 5, 0, 39.77, 48.89, 47.87
32, 1024, 000, 37, 7, 9, 40.06, 48.13, 48.22
33, 1056, 000, 37, 3, 11, 39.75, 48.38, 48.63
34, 1088, 000, 37, 4, 9, 40.00, 48.20, 47.84
35, 1120, 000, 37, 3, 33, 39.19, 45.26, 46.13
36, 1152, 000, 37, 3, 32, 38.21, 44.48, 43.09
37, 1184, 000, 37, 3, 19, 39.21, 47.82, 47.60
38, 1216, 000, 37, 3, 19, 39.14, 48.63, 47.95
39, 1248, 000, 37, 27, 1, 38.76, 48.91, 46.67
40, 1280, 000, 0, 3, 0, 36.21, 46.84, 47.95
41, 1312, 000, 0, 19, 0, 38.11, 46.74, 46.21
42, 1344, 000, 0, 1, 0, 37.80, 46.64, 45.89
43, 1376, 000, 0, 1, 0, 37.46, 42.55, 44.90
44, 1408, 000, 0, 0, 0, 36.54, 44.95, 46.74
45, 1440, 000, 0, 1, 0, 36.87, 46.51, 46.82
46, 1472, 000, 0, 1, 0, 38.44, 39.91, 40.87
47, 1504, 000, 37, 11, 42, 39.42, 44.41, 41.50
48, 1536, 000, 37, 18, 0, 39.69, 41.52, 39.95
49, 1568, 000, 0, 3, 0, 39.78, 46.66, 45.55
50, 1600, 000, 37, 11, 0, 38.25, 44.88, 41.28
51, 1632, 000, 0, 3, 0, 39.50, 46.61, 49.10
52, 1664, 000, 0, 0, 0, 39.91, 49.12, 47.66
53, 1696, 000, 0, 1, 0, 40.08, 48.67, 47.88
54, 1728, 000, 0, 1, 0, 39.41, 47.77, 48.52
55, 1760, 000, 0, 6, 0, 38.52, 48.85, 46.46
56, 1792, 000, 37, 5, 18, 39.43, 47.38, 46.29
57, 1824, 000, 37, 3, 11, 40.01, 46.95, 46.42
58, 1856, 000, 0, 3, 0, 38.06, 45.87, 45.22
59, 1888, 000, 37, 4, 6, 39.97, 48.91, 48.97
60, 000, 032, 37, 11, 5, 38.28, 47.44, 47.29
61, 032, 032, 37, 4, 30, 40.18, 44.74, 44.06
62, 064, 032, 37, 3, 11, 38.71, 48.95, 46.84
63, 096, 032, 37, 2, 29, 39.71, 47.77, 47.04
64, 128, 032, 37, 17, 18, 37.80, 47.36, 45.95
65, 160, 032, 0, 0, 0, 38.21, 47.53, 47.96
66, 192, 032, 0, 1, 0, 39.83, 46.84, 48.75
67, 224, 032, 0, 1, 0, 39.95, 47.84, 48.60
68, 256, 032, 0, 0, 0, 40.10, 46.36, 47.07
69, 288, 032, 37, 5, 10, 38.62, 47.79, 46.89
70, 320, 032, 0, 1, 0, 38.58, 42.43, 42.92
71, 352, 032, 37, 5, 26, 39.14, 45.62, 44.30
