CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 11, 43, 40.07, 43.47, 42.31
1, 032, 000, 37, 8, 31, 39.93, 47.24, 47.98
2, 064, 000, 37, 7, 18, 37.43, 46.09, 46.47
3, 096, 000, 37, 7, 69, 36.66, 45.09, 44.59
4, 128, 000, 37, 7, 71, 36.95, 44.22, 43.57
5, 160, 000, 37, 6, 85, 36.10, 44.37, 43.65
6, 192, 000, 37, 32, 1, 39.45, 45.77, 44.25
7, 224, 000, 37, 9, 0, 39.64, 44.78, 45.29
8, 256, 000, 0, 4, 0, 38.14, 44.87, 45.62
9, 288, 000, 0, 1, 0, 39.58, 46.54, 45.36
10, 320, 000, 37, 8, 16, 40.59, 48.34, 45.68
11, 352, 000, 0, 3, 0, 37.54, 49.34, 46.59
12, 384, 000, 0, 2, 0, 39.15, 46.42, 46.39
13, 416, 000, 0, 1, 0, 38.75, 45.92, 47.96
14, 448, 000, 0, 1, 0, 39.34, 45.01, 47.51
15, 480, 000, 37, 8, 8, 40.34, 44.44, 46.20
16, 512, 000, 37, 6, 10, 39.88, 44.85, 47.44
17, 544, 000, 37, 5, 20, 39.52, 43.82, 43.92
18, 576, 000, 37, 4, 20, 40.46, 48.05, 47.84
19, 608, 000, 37, 4, 15, 40.41, 47.09, 47.41
20, 640, 000, 0, 2, 0, 38.19, 47.92, 49.07
21, 672, 000, 0, 2, 0, 39.00, 48.36, 48.30
22, 704, 000, 0, 1, 0, 39.47, 47.44, 47.76
23, 736, 000, 0, 0, 0, 39.67, 48.08, 48.03
24, 768, 000, 0, 1, 0, 39.09, 48.85, 48.63
25, 800, 000, 0, 1, 0, 38.30, 47.98, 46.13
26, 832, 000, 37, 6, 24, 38.67, 45.80, 46.99
27, 864, 000, 37, 3, 40, 38.57, 42.87, 46.17
28, 896, 000, 37, 4, 25, 40.74, 47.18, 47.11
29, 928, 000, 37, 4, 10, 40.30, 47.26, 47.95
30, 960, 000, 0, 2, 0, 39.99, 49.03, 48.18
31, 992, 000, 37, 5, 12, 40.78, 48.10, 48.10
32, 1024, 000, 37, 19, 0, 39.56, 44.60, 42.87
33, 1056, 000, 37, 10, 0, 38.07, 43.09, 44.13
34, 1088, 000, 0, 2, 0, 38.41, 48.52, 50.14
35, 1120, 000, 0, 1, 0, 36.50, 45.59, 47.51
36, 1152, 000, 0, 1, 0, 40.51, 45.78, 45.13
37, 1184, 000, 0, 1, 0, 37.77, 48.83, 49.05
38, 1216, 000, 0, 0, 0, 40.74, 47.98, 48.34
39, 1248, 000, 0, 1, 0, 40.02, 49.52, 47.90
40, 1280, 000, 0, 1, 0, 40.55, 48.32, 48.65
41, 1312, 000, 0, 0, 0, 39.67, 45.75, 45.36
42, 1344, 000, 0, 1, 0, 38.05, 44.02, 43.35
43, 1376, 000, 0, 0, 0, 38.76, 47.36, 47.23
44, 1408, 000, 0, 1, 0, 37.92, 48.29, 47.95
45, 1440, 000, 0, 0, 0, 37.53, 46.99, 45.91
46, 1472, 000, 0, 0, 0, 37.96, 47.84, 46.76
47, 1504, 000, 0, 1, 0, 38.20, 48.56, 46.84
48, 1536, 000, 0, 0, 0, 39.60, 48.05, 47.38
49, 1568, 000, 0, 1, 0, 37.80, 44.05, 44.37
50, 1600, 000, 0, 19, 0, 36.98, 44.14, 45.57
51, 1632, 000, 37, 13, 0, 38.27, 43.47, 43.63
52, 1664, 000, 0, 2, 0, 38.36, 38.87, 40.59
53, 1696, 000, 37, 13, 1, 38.31, 42.14, 41.91
54, 1728, 000, 0, 2, 0, 37.88, 42.94, 40.43
55, 1760, 000, 37, 24, 5, 38.36, 47.93, 47.34
56, 1792, 000, 37, 12, 26, 39.52, 45.20, 44.94
57, 1824, 000, 0, 2, 0, 38.66, 44.81, 43.07
58, 1856, 000, 37, 6, 15, 41.33, 48.36, 44.52
59, 1888, 000, 0, 2, 0, 41.06, 47.63, 47.76
60, 000, 032, 0, 23, 0, 34.24, 45.00, 48.34
61, 032, 032, 37, 11, 13, 40.09, 48.01, 48.08
62, 064, 032, 37, 3, 13, 39.92, 47.87, 47.16
63, 096, 032, 37, 16, 15, 37.74, 46.50, 45.72
64, 128, 032, 37, 13, 15, 38.38, 46.70, 47.13
65, 160, 032, 0, 2, 0, 40.35, 46.58, 47.76
66, 192, 032, 0, 1, 0, 38.20, 45.86, 44.43
67, 224, 032, 0, 1, 0, 38.09, 43.21, 45.44
68, 256, 032, 37, 18, 1, 38.54, 43.84, 48.22
69, 288, 032, 0, 5, 0, 39.14, 45.35, 46.00
70, 320, 032, 37, 4, 12, 39.82, 44.53, 47.50
71, 352, 032, 37, 21, 0, 38.77, 48.32, 49.64
72, 384, 032, 0, 1, 0, 40.52, 44.60, 49.20
73, 416, 032, 0, 1, 0, 39.78, 48.01, 48.34
74, 448, 032, 0, 1, 0, 40.13, 47.00, 47.80
75, 480, 032, 0, 1, 0, 39.82, 45.50, 44.94
76, 512, 032, 0, 1, 0, 39.95, 47.84, 49.12
77, 544, 032, 0, 1, 0, 39.29, 45.87, 44.66
78, 576, 032, 0, 1, 0, 38.96, 44.75, 46.80
79, 608, 032, 37, 14, 0, 40.33, 43.47, 45.14
80, 640, 032, 0, 1, 0, 40.97, 49.01, 46.84
81, 672, 032, 0, 0, 0, 39.98, 47.68, 49.71
82, 704, 032, 0, 1, 0, 40.64, 47.51, 48.91
83, 736, 032, 0, 0, 0, 39.07, 47.50, 48.91
84, 768, 032, 0, 1, 0, 40.08, 48.11, 49.45
85, 800, 032, 0, 1, 0, 39.77, 47.93, 48.45
86, 832, 032, 37, 12, 0, 40.61, 44.02, 47.30
87, 864, 032, 0, 1, 0, 40.32, 43.77, 44.23
88, 896, 032, 0, 1, 0, 39.69, 47.13, 48.10
89, 928, 032, 0, 1, 0, 41.02, 46.58, 49.61
90, 960, 032, 0, 5, 0, 40.35, 46.71, 50.01
91, 992, 032, 0, 5, 0, 40.85, 47.18, 47.71
92, 1024, 032, 0, 1, 0, 39.72, 46.43, 45.20
93, 1056, 032, 0, 5, 0, 37.95, 45.26, 46.25
94, 1088, 032, 0, 0, 0, 37.63, 50.31, 50.88
95, 1120, 032, 37, 11, 1, 39.28, 45.58, 50.91
96, 1152, 032, 0, 4, 0, 39.75, 41.83, 43.67
97, 1184, 032, 0, 1, 0, 40.22, 48.23, 48.22
98, 1216, 032, 0, 0, 0, 38.71, 48.71, 47.96
99, 1248, 032, 0, 1, 0, 39.18, 48.29, 47.51
100, 1280, 032, 0, 0, 0, 38.95, 47.92, 47.43
101, 1312, 032, 0, 1, 0, 37.59, 44.95, 44.34
102, 1344, 032, 0, 1, 0, 38.34, 43.99, 48.25
103, 1376, 032, 0, 0, 0, 38.33, 47.00, 45.36
104, 1408, 032, 0, 1, 0, 37.32, 47.80, 46.55
105, 1440, 032, 37, 6, 7, 37.35, 46.54, 45.35
106, 1472, 032, 0, 1, 0, 34.64, 46.23, 45.04
107, 1504, 032, 0, 1, 0, 35.56, 45.60, 43.62
108, 1536, 032, 0, 0, 0, 35.32, 46.04, 43.08
109, 1568, 032, 0, 1, 0, 35.83, 42.76, 46.13
110, 1600, 032, 0, 31, 0, 36.33, 46.10, 47.73
111, 1632, 032, 0, 4, 0, 37.98, 44.93, 45.15
112, 1664, 032, 0, 9, 0, 37.66, 43.41, 40.39
113, 1696, 032, 0, 4, 0, 37.21, 42.31, 40.76
114, 1728, 032, 0, 20, 0, 38.80, 46.72, 44.28
115, 1760, 032, 0, 5, 0, 37.31, 47.80, 46.34
116, 1792, 032, 0, 1, 0, 35.16, 46.10, 44.60
117, 1824, 032, 0, 6, 0, 37.14, 43.70, 43.13
118, 1856, 032, 37, 6, 23, 40.88, 46.84, 47.87
119, 1888, 032, 0, 1, 0, 40.72, 48.89, 48.01
120, 000, 064, 37, 61, 1, 32.91, 43.76, 43.33
121, 032, 064, 0, 2, 0, 33.86, 44.04, 43.88
122, 064, 064, 0, 7, 0, 33.59, 43.30, 42.05
123, 096, 064, 0, 2, 0, 33.37, 42.80, 45.70
124, 128, 064, 37, 24, 0, 35.51, 41.36, 45.25
125, 160, 064, 37, 29, 10, 37.60, 42.05, 46.14
126, 192, 064, 37, 6, 18, 36.86, 45.56, 42.17
127, 224, 064, 37, 5, 7, 38.96, 42.87, 43.86
128, 256, 064, 37, 3, 5, 38.38, 47.92, 47.96
129, 288, 064, 37, 23, 0, 37.16, 46.70, 42.36
130, 320, 064, 37, 6, 11, 35.93, 40.18, 44.72
131, 352, 064, 0, 12, 0, 35.73, 43.34, 43.19
132, 384, 064, 0, 2, 0, 38.90, 43.75, 45.05
133, 416, 064, 0, 1, 0, 39.81, 46.86, 46.87
134, 448, 064, 0, 1, 0, 40.19, 47.01, 48.32
135, 480, 064, 0, 0, 0, 39.33, 46.89, 47.24
136, 512, 064, 0, 1, 0, 38.07, 47.23, 48.48
137, 544, 064, 0, 1, 0, 39.17, 46.03, 46.78
138, 576, 064, 0, 1, 0, 39.27, 46.26, 47.40
139, 608, 064, 0, 5, 0, 38.88, 45.49, 45.99
140, 640, 064, 0, 1, 0, 40.12, 48.81, 45.89
141, 672, 064, 0, 0, 0, 40.12, 48.41, 47.19
142, 704, 064, 0, 1, 0, 40.33, 48.97, 48.63
143, 736, 064, 0, 1, 0, 39.86, 48.75, 48.15
144, 768, 064, 0, 0, 0, 39.87, 48.45, 49.81
