CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 19, 54, 35.32, 37.10, 36.03
1, 032, 000, 37, 17, 27, 34.03, 38.42, 35.68
2, 064, 000, 37, 12, 88, 31.34, 38.10, 38.73
3, 096, 000, 37, 10, 30, 35.53, 44.26, 44.47
4, 128, 000, 37, 9, 28, 34.85, 45.12, 45.79
5, 160, 000, 0, 3, 0, 36.10, 46.58, 48.01
6, 192, 000, 37, 11, 56, 35.57, 40.65, 44.40
7, 224, 000, 37, 4, 23, 34.56, 42.36, 41.03
8, 256, 000, 0, 3, 0, 36.02, 43.82, 42.73
9, 288, 000, 0, 1, 0, 37.02, 44.21, 39.87
10, 320, 000, 0, 2, 0, 32.70, 43.36, 38.29
11, 352, 000, 0, 1, 0, 37.37, 44.70, 45.05
12, 384, 000, 0, 2, 0, 36.33, 45.64, 44.82
13, 416, 000, 0, 1, 0, 36.13, 44.75, 45.74
14, 448, 000, 0, 1, 0, 38.61, 44.35, 45.85
15, 480, 000, 0, 1, 0, 38.06, 44.83, 46.37
16, 512, 000, 0, 1, 0, 38.43, 45.16, 45.96
17, 544, 000, 0, 1, 0, 37.85, 44.69, 45.46
18, 576, 000, 0, 1, 0, 37.98, 43.97, 46.60
19, 608, 000, 37, 11, 23, 37.91, 43.26, 46.15
20, 640, 000, 0, 2, 0, 35.68, 42.77, 44.17
21, 672, 000, 0, 1, 0, 38.04, 43.30, 44.49
22, 704, 000, 0, 1, 0, 34.74, 44.18, 44.35
23, 736, 000, 0, 1, 0, 37.64, 45.09, 47.12
24, 768, 000, 0, 0, 0, 37.39, 45.59, 45.57
25, 800, 000, 0, 1, 0, 38.73, 47.29, 45.92
26, 832, 000, 0, 1, 0, 38.72, 44.56, 43.95
27, 864, 000, 0, 1, 0, 38.11, 46.77, 44.61
28, 896, 000, 0, 0, 0, 35.36, 44.65, 45.08
29, 928, 000, 0, 1, 0, 37.28, 45.60, 43.94
30, 960, 000, 0, 0, 0, 38.84, 45.75, 43.25
31, 992, 000, 0, 1, 0, 38.00, 47.26, 44.19
32, 1024, 000, 0, 0, 0, 39.96, 44.80, 42.85
33, 1056, 000, 0, 1, 0, 38.91, 45.05, 43.16
34, 1088, 000, 0, 0, 0, 39.56, 46.77, 45.19
35, 1120, 000, 0, 1, 0, 38.37, 44.61, 42.55
36, 1152, 000, 0, 0, 0, 40.07, 45.60, 44.67
37, 1184, 000, 0, 0, 0, 34.19, 43.35, 43.09
38, 1216, 000, 0, 1, 0, 39.34, 45.79, 45.83
39, 1248, 000, 0, 0, 0, 40.35, 44.47, 44.56
40, 1280, 000, 0, 0, 0, 39.60, 45.48, 45.79
41, 1312, 000, 0, 1, 0, 39.72, 44.87, 46.04
42, 1344, 000, 0, 0, 0, 39.65, 45.05, 46.07
43, 1376, 000, 0, 0, 0, 35.78, 39.29, 41.65
44, 1408, 000, 0, 1, 0, 34.42, 45.60, 45.40
45, 1440, 000, 0, 0, 0, 36.74, 47.26, 48.60
46, 1472, 000, 0, 0, 0, 34.96, 38.87, 44.96
47, 1504, 000, 0, 0, 0, 37.56, 45.53, 45.37
48, 1536, 000, 0, 0, 0, 39.62, 45.78, 45.45
49, 1568, 000, 0, 1, 0, 39.59, 45.28, 45.15
50, 1600, 000, 0, 0, 0, 37.05, 45.76, 44.66
51, 1632, 000, 0, 0, 0, 38.04, 45.84, 45.29
52, 1664, 000, 0, 0, 0, 37.55, 46.03, 45.74
53, 1696, 000, 37, 14, 25, 38.55, 41.99, 41.02
54, 1728, 000, 0, 2, 0, 35.86, 45.93, 44.66
55, 1760, 000, 0, 0, 0, 35.99, 46.27, 44.53
56, 1792, 000, 0, 0, 0, 35.69, 46.29, 45.41
57, 1824, 000, 0, 0, 0, 34.75, 44.32, 44.04
58, 1856, 000, 0, 7, 0, 34.24, 44.69, 44.48
59, 1888, 000, 37, 11, 51, 35.19, 44.44, 43.73
60, 000, 032, 0, 10, 0, 36.45, 39.57, 40.35
61, 032, 032, 37, 11, 6, 37.39, 41.84, 39.04
62, 064, 032, 37, 8, 22, 33.34, 39.95, 36.36
63, 096, 032, 37, 9, 27, 32.77, 38.14, 37.78
64, 128, 032, 37, 9, 71, 32.18, 38.86, 41.19
65, 160, 032, 37, 9, 29, 37.55, 44.91, 47.57
66, 192, 032, 0, 2, 0, 33.39, 39.99, 42.55
67, 224, 032, 0, 0, 0, 35.47, 43.34, 42.99
68, 256, 032, 0, 1, 0, 37.07, 43.82, 44.02
69, 288, 032, 0, 0, 0, 33.79, 42.52, 41.60
70, 320, 032, 0, 1, 0, 38.18, 47.03, 46.89
71, 352, 032, 0, 0, 0, 36.35, 45.60, 46.63
72, 384, 032, 0, 1, 0, 34.84, 44.89, 45.62
73, 416, 032, 0, 0, 0, 34.78, 44.25, 45.48
74, 448, 032, 37, 10, 1, 34.76, 42.12, 44.07
75, 480, 032, 0, 0, 0, 32.68, 42.48, 43.99
76, 512, 032, 0, 1, 0, 31.29, 42.34, 42.94
77, 544, 032, 0, 0, 0, 36.27, 43.32, 45.78
78, 576, 032, 0, 1, 0, 36.79, 43.59, 43.19
79, 608, 032, 37, 8, 36, 38.75, 43.19, 44.42
80, 640, 032, 0, 1, 0, 36.07, 43.22, 42.34
81, 672, 032, 0, 0, 0, 37.51, 42.65, 43.78
82, 704, 032, 0, 0, 0, 33.82, 42.78, 45.23
83, 736, 032, 0, 1, 0, 36.56, 42.89, 47.73
84, 768, 032, 0, 0, 0, 38.30, 48.69, 45.35
85, 800, 032, 0, 0, 0, 37.60, 47.87, 46.42
86, 832, 032, 0, 1, 0, 37.79, 44.92, 44.69
87, 864, 032, 0, 5, 0, 37.23, 43.65, 44.91
88, 896, 032, 0, 33, 0, 34.59, 44.45, 42.04
89, 928, 032, 0, 8, 0, 35.71, 44.35, 44.09
90, 960, 032, 0, 1, 0, 38.58, 46.45, 46.36
91, 992, 032, 0, 0, 0, 38.87, 45.80, 46.98
92, 1024, 032, 0, 1, 0, 39.68, 45.57, 44.43
93, 1056, 032, 0, 1, 0, 38.74, 46.00, 44.59
94, 1088, 032, 0, 0, 0, 39.08, 45.67, 45.07
95, 1120, 032, 0, 1, 0, 40.09, 45.36, 43.24
96, 1152, 032, 0, 0, 0, 39.77, 45.42, 47.03
97, 1184, 032, 0, 1, 0, 34.29, 44.03, 43.79
98, 1216, 032, 0, 0, 0, 39.70, 47.23, 47.77
99, 1248, 032, 0, 1, 0, 38.00, 46.12, 44.95
100, 1280, 032, 0, 0, 0, 38.56, 46.04, 46.81
101, 1312, 032, 0, 0, 0, 38.52, 45.57, 45.51
102, 1344, 032, 0, 1, 0, 38.02, 45.68, 43.41
103, 1376, 032, 0, 0, 0, 35.64, 36.02, 43.95
104, 1408, 032, 0, 0, 0, 32.15, 46.24, 44.54
105, 1440, 032, 0, 1, 0, 35.22, 47.16, 47.66
106, 1472, 032, 0, 0, 0, 35.07, 39.78, 43.81
107, 1504, 032, 0, 22, 0, 36.54, 45.88, 46.98
108, 1536, 032, 0, 7, 0, 37.30, 45.06, 42.54
109, 1568, 032, 0, 0, 0, 37.06, 45.69, 44.45
110, 1600, 032, 0, 20, 0, 35.02, 44.83, 42.38
111, 1632, 032, 0, 1, 0, 37.23, 47.22, 44.53
112, 1664, 032, 0, 10, 0, 36.85, 45.83, 45.31
113, 1696, 032, 37, 23, 16, 36.51, 43.88, 43.56
114, 1728, 032, 0, 19, 0, 35.01, 45.06, 42.45
115, 1760, 032, 0, 1, 0, 37.35, 44.95, 43.63
116, 1792, 032, 0, 1, 0, 37.22, 44.61, 44.19
117, 1824, 032, 0, 1, 0, 36.29, 45.04, 43.82
118, 1856, 032, 0, 1, 0, 35.75, 45.17, 45.09
119, 1888, 032, 0, 1, 0, 33.99, 43.97, 43.53
120, 000, 064, 0, 4, 0, 37.93, 40.76, 42.01
121, 032, 064, 0, 1, 0, 37.54, 39.85, 41.19
122, 064, 064, 0, 1, 0, 37.76, 41.83, 41.75
123, 096, 064, 0, 6, 0, 35.01, 40.26, 37.61
124, 128, 064, 37, 34, 41, 32.39, 40.84, 34.68
125, 160, 064, 0, 2, 0, 34.28, 42.25, 38.40
126, 192, 064, 37, 13, 39, 32.27, 39.94, 39.75
127, 224, 064, 0, 2, 0, 34.11, 41.88, 43.57
