CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 0, 23, 0, 34.82, 41.41, 40.94
1, 032, 000, 37, 12, 17, 39.42, 45.36, 48.18
2, 064, 000, 37, 7, 23, 39.61, 44.07, 46.86
3, 096, 000, 37, 8, 27, 37.59, 45.79, 45.15
4, 128, 000, 37, 30, 45, 37.17, 45.65, 43.51
5, 160, 000, 37, 21, 45, 37.03, 44.87, 43.02
6, 192, 000, 37, 16, 54, 36.08, 45.96, 42.46
7, 224, 000, 37, 5, 28, 39.70, 45.12, 47.60
8, 256, 000, 37, 21, 0, 39.97, 45.19, 45.95
9, 288, 000, 37, 11, 1, 38.68, 44.45, 44.67
10, 320, 000, 0, 3, 0, 39.13, 47.04, 45.11
11, 352, 000, 0, 2, 0, 40.81, 47.47, 45.55
12, 384, 000, 0, 1, 0, 37.26, 48.83, 47.41
13, 416, 000, 0, 2, 0, 39.03, 46.74, 47.40
14, 448, 000, 0, 1, 0, 39.52, 45.88, 48.63
15, 480, 000, 0, 1, 0, 40.07, 46.45, 48.58
16, 512, 000, 0, 2, 0, 39.52, 44.72, 46.03
17, 544, 000, 0, 1, 0, 39.35, 46.02, 47.19
18, 576, 000, 0, 1, 0, 39.49, 49.18, 43.94
19, 608, 000, 0, 1, 0, 39.99, 48.97, 47.41
20, 640, 000, 0, 1, 0, 40.33, 46.69, 46.80
21, 672, 000, 0, 0, 0, 38.69, 48.75, 48.75
22, 704, 000, 0, 1, 0, 39.96, 48.81, 47.43
23, 736, 000, 0, 16, 0, 40.79, 47.56, 47.79
24, 768, 000, 0, 2, 0, 39.96, 48.34, 48.34
25, 800, 000, 0, 1, 0, 40.16, 48.60, 50.04
26, 832, 000, 0, 4, 0, 37.29, 45.62, 48.05
27, 864, 000, 37, 6, 37, 39.01, 46.75, 46.40
28, 896, 000, 37, 18, 0, 39.94, 46.09, 46.63
29, 928, 000, 0, 3, 0, 40.27, 47.74, 48.01
30, 960, 000, 0, 1, 0, 39.60, 46.52, 46.98
31, 992, 000, 0, 1, 0, 39.99, 47.87, 47.82
32, 1024, 000, 0, 1, 0, 39.59, 48.45, 47.73
33, 1056, 000, 0, 0, 0, 39.58, 43.40, 42.07
34, 1088, 000, 0, 1, 0, 37.51, 43.29, 44.69
35, 1120, 000, 0, 1, 0, 38.72, 48.48, 50.37
36, 1152, 000, 0, 0, 0, 36.13, 44.40, 46.64
37, 1184, 000, 0, 1, 0, 40.08, 44.53, 45.56
38, 1216, 000, 0, 1, 0, 37.48, 49.05, 48.56
39, 1248, 000, 0, 0, 0, 40.50, 48.48, 47.92
40, 1280, 000, 0, 1, 0, 40.28, 49.36, 48.29
41, 1312, 000, 0, 0, 0, 39.79, 48.15, 48.63
42, 1344, 000, 37, 15, 0, 39.79, 44.85, 44.82
43, 1376, 000, 0, 2, 0, 37.62, 43.78, 43.33
44, 1408, 000, 0, 1, 0, 38.41, 47.63, 47.95
45, 1440, 000, 0, 0, 0, 37.73, 47.54, 47.59
46, 1472, 000, 0, 1, 0, 36.84, 46.85, 45.92
47, 1504, 000, 0, 0, 0, 37.23, 48.32, 47.38
48, 1536, 000, 0, 1, 0, 38.11, 47.62, 47.13
49, 1568, 000, 0, 0, 0, 38.81, 47.80, 47.44
50, 1600, 000, 0, 0, 0, 37.28, 42.86, 44.23
51, 1632, 000, 0, 1, 0, 36.90, 43.49, 44.48
52, 1664, 000, 0, 0, 0, 36.73, 42.20, 42.84
53, 1696, 000, 37, 15, 19, 38.09, 43.56, 48.08
54, 1728, 000, 37, 4, 45, 38.72, 46.58, 46.37
55, 1760, 000, 37, 4, 62, 39.66, 44.71, 40.52
56, 1792, 000, 37, 4, 15, 40.46, 45.84, 47.71
57, 1824, 000, 37, 3, 20, 39.16, 46.81, 46.29
58, 1856, 000, 0, 3, 0, 37.64, 44.83, 41.35
59, 1888, 000, 0, 0, 0, 39.09, 46.66, 47.70
60, 000, 032, 37, 14, 21, 39.91, 47.08, 45.52
61, 032, 032, 37, 3, 3, 39.17, 46.02, 48.11
62, 064, 032, 37, 3, 16, 40.44, 44.61, 46.82
63, 096, 032, 37, 3, 15, 40.38, 45.47, 44.87
64, 128, 032, 37, 3, 15, 39.72, 45.13, 47.24
65, 160, 032, 37, 3, 12, 40.49, 44.21, 46.06
66, 192, 032, 37, 3, 19, 39.34, 46.77, 46.60
67, 224, 032, 37, 2, 12, 40.06, 47.12, 46.96
68, 256, 032, 0, 3, 0, 37.15, 43.08, 44.92
69, 288, 032, 0, 6, 0, 37.97, 43.95, 48.41
70, 320, 032, 0, 0, 0, 38.48, 44.91, 45.13
71, 352, 032, 0, 1, 0, 39.73, 44.07, 46.44
72, 384, 032, 37, 5, 25, 38.02, 46.36, 49.49
73, 416, 032, 0, 1, 0, 39.70, 43.97, 48.69
74, 448, 032, 0, 0, 0, 38.82, 48.39, 49.31
75, 480, 032, 0, 1, 0, 41.11, 47.27, 48.38
76, 512, 032, 0, 0, 0, 39.40, 45.87, 44.45
77, 544, 032, 0, 0, 0, 39.70, 46.96, 48.93
78, 576, 032, 0, 1, 0, 39.70, 45.38, 44.99
79, 608, 032, 0, 0, 0, 38.82, 44.13, 46.52
80, 640, 032, 0, 0, 0, 39.30, 43.67, 44.48
81, 672, 032, 0, 1, 0, 41.15, 48.36, 46.69
82, 704, 032, 0, 0, 0, 39.60, 47.37, 49.25
83, 736, 032, 0, 1, 0, 40.48, 47.23, 49.12
84, 768, 032, 0, 0, 0, 38.86, 46.19, 49.59
85, 800, 032, 0, 0, 0, 39.83, 47.70, 49.59
86, 832, 032, 0, 1, 0, 40.44, 48.45, 49.03
87, 864, 032, 37, 13, 1, 40.72, 43.74, 46.63
88, 896, 032, 0, 7, 0, 39.92, 43.24, 43.89
89, 928, 032, 0, 1, 0, 39.06, 46.78, 48.01
90, 960, 032, 0, 0, 0, 40.59, 46.20, 49.66
91, 992, 032, 0, 0, 0, 40.15, 47.24, 49.14
92, 1024, 032, 0, 1, 0, 40.42, 47.62, 46.60
93, 1056, 032, 0, 0, 0, 39.61, 46.20, 44.80
94, 1088, 032, 0, 0, 0, 37.77, 45.09, 45.85
95, 1120, 032, 0, 0, 0, 37.02, 50.31, 50.54
96, 1152, 032, 0, 1, 0, 38.85, 44.83, 49.71
97, 1184, 032, 0, 0, 0, 39.29, 41.40, 43.40
98, 1216, 032, 0, 0, 0, 39.93, 48.67, 47.88
99, 1248, 032, 0, 0, 0, 38.02, 49.40, 48.43
100, 1280, 032, 0, 0, 0, 38.92, 48.34, 48.08
101, 1312, 032, 0, 1, 0, 38.81, 48.16, 48.01
102, 1344, 032, 0, 6, 0, 37.01, 44.79, 44.45
103, 1376, 032, 0, 0, 0, 37.60, 43.82, 48.05
104, 1408, 032, 0, 0, 0, 38.07, 46.31, 45.44
105, 1440, 032, 0, 0, 0, 37.08, 47.57, 46.74
