CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 19, 75, 33.72, 37.00, 35.84
1, 032, 000, 37, 19, 83, 31.30, 38.67, 40.00
2, 064, 000, 37, 10, 80, 34.58, 43.68, 42.78
3, 096, 000, 37, 18, 36, 36.20, 46.77, 46.67
4, 128, 000, 0, 3, 0, 37.37, 47.03, 47.82
5, 160, 000, 37, 10, 42, 36.17, 43.25, 46.36
6, 192, 000, 37, 9, 22, 36.29, 42.20, 46.54
7, 224, 000, 0, 3, 0, 37.03, 43.62, 42.56
8, 256, 000, 0, 2, 0, 36.62, 44.75, 40.12
9, 288, 000, 37, 15, 25, 34.69, 42.65, 39.41
10, 320, 000, 0, 2, 0, 37.68, 45.17, 45.76
11, 352, 000, 0, 1, 0, 38.07, 46.24, 46.35
12, 384, 000, 37, 12, 0, 37.00, 45.89, 45.87
13, 416, 000, 0, 3, 0, 38.10, 45.71, 46.63
14, 448, 000, 0, 1, 0, 39.10, 45.08, 46.63
15, 480, 000, 0, 1, 0, 39.31, 44.54, 46.78
16, 512, 000, 37, 10, 0, 39.03, 45.74, 45.98
17, 544, 000, 0, 2, 0, 39.72, 44.58, 46.64
18, 576, 000, 0, 1, 0, 36.34, 43.89, 47.05
19, 608, 000, 0, 1, 0, 37.17, 44.16, 44.31
20, 640, 000, 0, 2, 0, 38.49, 43.89, 45.58
21, 672, 000, 0, 0, 0, 36.43, 44.81, 46.39
22, 704, 000, 0, 1, 0, 37.45, 46.24, 46.02
23, 736, 000, 0, 1, 0, 38.53, 45.86, 45.79
24, 768, 000, 0, 1, 0, 38.89, 46.71, 45.78
25, 800, 000, 0, 1, 0, 38.43, 44.45, 43.97
26, 832, 000, 0, 0, 0, 39.34, 46.81, 46.75
27, 864, 000, 0, 1, 0, 35.51, 44.97, 44.83
28, 896, 000, 0, 1, 0, 37.52, 46.61, 44.42
29, 928, 000, 0, 0, 0, 38.37, 45.32, 43.46
30, 960, 000, 0, 1, 0, 39.51, 47.50, 44.98
31, 992, 000, 0, 1, 0, 40.33, 46.91, 46.27
32, 1024, 000, 0, 0, 0, 40.02, 46.14, 43.16
33, 1056, 000, 0, 6, 0, 39.66, 47.51, 45.68
34, 1088, 000, 0, 1, 0, 37.62, 45.94, 43.81
35, 1120, 000, 37, 10, 15, 39.36, 45.65, 43.12
36, 1152, 000, 37, 17, 1, 38.80, 43.14, 42.98
37, 1184, 000, 0, 1, 0, 39.39, 45.63, 47.70
38, 1216, 000, 0, 1, 0, 39.74, 44.42, 45.06
39, 1248, 000, 0, 0, 0, 40.15, 46.21, 46.65
40, 1280, 000, 0, 1, 0, 40.13, 45.36, 45.88
41, 1312, 000, 0, 0, 0, 40.31, 45.87, 46.82
42, 1344, 000, 0, 1, 0, 38.04, 41.71, 43.25
43, 1376, 000, 0, 0, 0, 37.09, 44.75, 43.17
44, 1408, 000, 0, 0, 0, 37.43, 47.63, 48.91
45, 1440, 000, 0, 1, 0, 36.23, 40.10, 44.83
46, 1472, 000, 0, 5, 0, 38.74, 44.65, 45.36
47, 1504, 000, 37, 9, 10, 39.89, 47.29, 47.12
48, 1536, 000, 37, 17, 0, 40.21, 45.07, 45.02
49, 1568, 000, 0, 2, 0, 38.06, 45.15, 45.34
50, 1600, 000, 0, 0, 0, 38.94, 47.96, 45.33
51, 1632, 000, 0, 1, 0, 38.78, 46.19, 44.79
52, 1664, 000, 37, 9, 1, 37.93, 43.10, 42.06
53, 1696, 000, 0, 1, 0, 36.19, 47.13, 45.60
54, 1728, 000, 0, 1, 0, 38.20, 47.70, 45.61
55, 1760, 000, 37, 7, 24, 38.35, 46.82, 45.61
56, 1792, 000, 37, 5, 40, 36.01, 45.40, 44.18
57, 1824, 000, 37, 4, 55, 35.85, 45.10, 44.23
58, 1856, 000, 37, 5, 52, 35.77, 44.13, 44.17
59, 1888, 000, 37, 13, 11, 35.45, 41.25, 39.16
60, 000, 032, 0, 10, 0, 36.18, 40.46, 42.12
61, 032, 032, 37, 68, 57, 33.43, 40.00, 37.31
62, 064, 032, 37, 11, 25, 33.51, 38.94, 37.25
63, 096, 032, 37, 12, 39, 33.44, 39.34, 39.85
64, 128, 032, 0, 1, 0, 35.67, 45.66, 45.58
65, 160, 032, 0, 5, 0, 34.96, 42.63, 44.16
66, 192, 032, 37, 6, 26, 36.05, 43.87, 43.58
67, 224, 032, 37, 4, 22, 38.64, 43.79, 45.04
68, 256, 032, 0, 1, 0, 34.91, 42.37, 38.16
69, 288, 032, 37, 5, 28, 38.00, 45.13, 45.51
70, 320, 032, 0, 1, 0, 38.07, 45.62, 47.57
71, 352, 032, 37, 7, 5, 35.46, 46.18, 46.34
72, 384, 032, 0, 2, 0, 35.20, 44.80, 46.06
73, 416, 032, 37, 12, 35, 35.84, 43.12, 44.54
74, 448, 032, 0, 1, 0, 35.86, 42.06, 44.29
75, 480, 032, 0, 1, 0, 34.56, 42.30, 43.37
76, 512, 032, 0, 1, 0, 35.29, 44.26, 44.24
77, 544, 032, 0, 1, 0, 38.14, 43.69, 43.02
78, 576, 032, 0, 1, 0, 35.57, 44.45, 43.99
79, 608, 032, 0, 0, 0, 37.10, 43.86, 43.50
80, 640, 032, 0, 1, 0, 38.52, 43.23, 43.62
81, 672, 032, 0, 1, 0, 35.45, 42.82, 46.66
82, 704, 032, 0, 0, 0, 36.63, 43.26, 46.31
83, 736, 032, 0, 1, 0, 38.77, 48.61, 46.61
84, 768, 032, 0, 0, 0, 37.94, 48.08, 46.12
85, 800, 032, 0, 1, 0, 37.64, 46.18, 44.50
86, 832, 032, 0, 0, 0, 38.14, 43.41, 45.68
87, 864, 032, 0, 1, 0, 34.86, 43.84, 41.82
88, 896, 032, 0, 0, 0, 36.82, 45.36, 46.13
89, 928, 032, 0, 0, 0, 39.42, 45.11, 45.23
90, 960, 032, 0, 1, 0, 40.76, 46.25, 47.15
91, 992, 032, 0, 0, 0, 39.81, 45.19, 45.46
92, 1024, 032, 0, 0, 0, 39.96, 45.58, 44.53
93, 1056, 032, 0, 1, 0, 39.72, 46.64, 45.38
94, 1088, 032, 0, 0, 0, 40.07, 46.02, 44.86
95, 1120, 032, 0, 1, 0, 39.73, 45.61, 44.10
96, 1152, 032, 37, 5, 31, 38.44, 43.79, 44.24
97, 1184, 032, 0, 0, 0, 37.93, 44.62, 47.84
98, 1216, 032, 0, 0, 0, 39.20, 46.15, 45.58
99, 1248, 032, 0, 1, 0, 38.23, 45.64, 47.30
100, 1280, 032, 0, 0, 0, 39.37, 46.14, 45.92
101, 1312, 032, 0, 0, 0, 38.88, 46.07, 44.10
102, 1344, 032, 0, 0, 0, 38.35, 39.20, 44.75
103, 1376, 032, 0, 1, 0, 33.29, 45.65, 43.72
104, 1408, 032, 0, 0, 0, 35.20, 48.56, 47.59
105, 1440, 032, 0, 0, 0, 36.54, 42.21, 45.00
106, 1472, 032, 0, 0, 0, 37.38, 44.79, 47.18
107, 1504, 032, 0, 1, 0, 37.99, 46.82, 45.27
108, 1536, 032, 0, 0, 0, 38.25, 45.36, 43.50
109, 1568, 032, 0, 7, 0, 35.13, 44.60, 43.41
110, 1600, 032, 0, 5, 0, 37.98, 44.19, 45.12
111, 1632, 032, 0, 4, 0, 38.34, 47.04, 42.74
112, 1664, 032, 0, 1, 0, 33.12, 44.75, 41.10
113, 1696, 032, 0, 1, 0, 36.13, 46.06, 42.89
114, 1728, 032, 37, 8, 30, 38.72, 46.27, 45.29
115, 1760, 032, 37, 3, 28, 38.30, 45.99, 44.67
116, 1792, 032, 37, 5, 23, 38.11, 46.09, 44.56
117, 1824, 032, 37, 3, 27, 38.20, 47.33, 45.49
118, 1856, 032, 37, 34, 5, 38.30, 45.28, 45.15
119, 1888, 032, 37, 17, 18, 39.04, 43.43, 44.71
120, 000, 064, 0, 9, 0, 36.15, 37.97, 40.35
121, 032, 064, 0, 4, 0, 37.57, 41.39, 41.34
122, 064, 064, 0, 2, 0, 34.28, 42.43, 39.78
123, 096, 064, 37, 12, 45, 33.41, 40.34, 34.67
124, 128, 064, 0, 0, 0, 33.20, 41.22, 38.14
125, 160, 064, 37, 11, 61, 32.64, 39.77, 40.52
126, 192, 064, 37, 11, 33, 35.00, 41.54, 42.71
127, 224, 064, 0, 6, 0, 36.50, 44.30, 41.02
128, 256, 064, 37, 7, 11, 37.58, 42.59, 41.74
129, 288, 064, 0, 1, 0, 38.49, 45.69, 44.59
130, 320, 064, 0, 1, 0, 37.88, 45.77, 45.24
131, 352, 064, 0, 4, 0, 38.50, 45.80, 47.18
132, 384, 064, 0, 1, 0, 39.11, 45.02, 46.63
133, 416, 064, 0, 1, 0, 37.60, 44.45, 47.44
134, 448, 064, 0, 1, 0, 37.65, 42.47, 46.60
135, 480, 064, 0, 0, 0, 39.40, 43.84, 47.47
136, 512, 064, 0, 4, 0, 35.49, 45.43, 45.37
137, 544, 064, 0, 1, 0, 38.08, 44.40, 42.35
138, 576, 064, 0, 0, 0, 34.33, 43.94, 43.96
139, 608, 064, 0, 1, 0, 35.25, 43.49, 43.91
140, 640, 064, 0, 1, 0, 36.45, 43.67, 43.65
141, 672, 064, 0, 0, 0, 34.41, 44.50, 46.57
142, 704, 064, 0, 1, 0, 38.12, 44.50, 45.58
143, 736, 064, 0, 0, 0, 37.59, 47.20, 45.34
144, 768, 064, 0, 1, 0, 37.37, 48.50, 45.75
