CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 30, 19, 36.58, 42.88, 43.67
1, 032, 000, 37, 10, 14, 39.77, 48.67, 48.34
2, 064, 000, 37, 29, 0, 39.28, 47.82, 45.87
3, 096, 000, 37, 9, 17, 40.37, 47.34, 44.97
4, 128, 000, 37, 7, 29, 39.16, 48.91, 46.46
5, 160, 000, 37, 7, 27, 41.09, 47.82, 48.91
6, 192, 000, 0, 3, 0, 39.73, 48.54, 48.38
7, 224, 000, 37, 9, 9, 40.36, 48.32, 46.21
8, 256, 000, 0, 3, 0, 38.83, 46.92, 45.51
9, 288, 000, 37, 19, 1, 39.61, 47.80, 48.34
10, 320, 000, 0, 2, 0, 39.86, 44.95, 44.98
11, 352, 000, 0, 2, 0, 40.40, 45.16, 47.12
12, 384, 000, 0, 1, 0, 40.26, 47.46, 45.56
13, 416, 000, 0, 2, 0, 40.26, 46.59, 46.74
14, 448, 000, 0, 5, 0, 40.61, 48.48, 45.85
15, 480, 000, 0, 2, 0, 39.71, 48.39, 44.77
16, 512, 000, 0, 1, 0, 40.23, 47.73, 45.63
17, 544, 000, 0, 1, 0, 37.74, 48.00, 44.81
18, 576, 000, 37, 7, 13, 40.34, 48.47, 48.97
19, 608, 000, 37, 6, 10, 39.90, 49.07, 49.05
20, 640, 000, 37, 18, 0, 38.30, 43.75, 50.09
21, 672, 000, 0, 3, 0, 39.51, 47.90, 49.38
22, 704, 000, 0, 1, 0, 39.88, 47.85, 46.59
23, 736, 000, 0, 1, 0, 40.88, 48.06, 48.71
24, 768, 000, 0, 0, 0, 40.07, 48.89, 46.75
25, 800, 000, 0, 1, 0, 40.40, 47.60, 48.56
26, 832, 000, 0, 1, 0, 38.83, 42.01, 41.68
27, 864, 000, 0, 1, 0, 37.85, 48.20, 47.13
28, 896, 000, 0, 1, 0, 37.97, 48.89, 49.54
29, 928, 000, 37, 11, 0, 38.75, 44.77, 45.64
30, 960, 000, 0, 2, 0, 38.96, 45.78, 46.24
31, 992, 000, 0, 5, 0, 39.10, 49.29, 47.60
32, 1024, 000, 37, 6, 11, 40.27, 48.11, 47.92
33, 1056, 000, 37, 4, 16, 40.41, 47.93, 48.50
34, 1088, 000, 37, 4, 19, 40.58, 47.15, 47.65
35, 1120, 000, 37, 5, 51, 39.43, 42.90, 42.65
36, 1152, 000, 37, 5, 15, 39.53, 47.16, 47.76
37, 1184, 000, 37, 4, 15, 38.81, 48.56, 48.29
38, 1216, 000, 37, 18, 0, 39.84, 48.54, 46.03
39, 1248, 000, 0, 2, 0, 36.45, 48.67, 48.36
40, 1280, 000, 0, 1, 0, 38.65, 46.40, 45.50
41, 1312, 000, 0, 1, 0, 39.68, 45.95, 47.03
42, 1344, 000, 37, 11, 0, 40.19, 45.32, 46.17
43, 1376, 000, 0, 2, 0, 37.40, 43.23, 44.60
44, 1408, 000, 0, 1, 0, 37.80, 45.60, 47.49
45, 1440, 000, 0, 1, 0, 38.97, 46.28, 45.46
46, 1472, 000, 0, 0, 0, 38.57, 40.56, 40.48
47, 1504, 000, 0, 1, 0, 37.60, 41.81, 38.64
48, 1536, 000, 0, 0, 0, 40.14, 43.30, 42.77
49, 1568, 000, 0, 1, 0, 39.26, 45.86, 45.36
50, 1600, 000, 0, 1, 0, 38.67, 45.13, 42.66
51, 1632, 000, 37, 5, 3, 39.30, 47.62, 48.05
52, 1664, 000, 0, 1, 0, 40.28, 47.77, 48.39
53, 1696, 000, 37, 5, 15, 39.94, 48.79, 48.15
54, 1728, 000, 0, 2, 0, 38.20, 48.45, 47.53
55, 1760, 000, 0, 0, 0, 36.39, 48.81, 46.85
56, 1792, 000, 37, 5, 12, 39.26, 47.87, 47.20
57, 1824, 000, 37, 4, 22, 38.39, 44.77, 45.04
58, 1856, 000, 37, 4, 16, 38.85, 46.00, 46.37
59, 1888, 000, 0, 2, 0, 38.84, 47.19, 47.49
60, 000, 032, 37, 12, 32, 38.16, 45.72, 43.42
61, 032, 032, 37, 20, 3, 37.39, 47.80, 47.60
62, 064, 032, 37, 8, 3, 37.43, 46.37, 46.51
63, 096, 032, 37, 6, 25, 38.70, 48.95, 47.38
64, 128, 032, 37, 3, 42, 38.37, 47.15, 44.69
65, 160, 032, 37, 3, 16, 40.78, 47.68, 48.75
66, 192, 032, 37, 5, 8, 40.25, 48.73, 48.27
67, 224, 032, 37, 4, 11, 40.75, 48.38, 47.84
68, 256, 032, 0, 5, 0, 39.83, 46.44, 47.37
69, 288, 032, 0, 1, 0, 37.64, 44.78, 44.67
70, 320, 032, 0, 0, 0, 38.13, 44.98, 43.73
71, 352, 032, 37, 6, 10, 39.03, 44.21, 49.47
72, 384, 032, 0, 1, 0, 39.95, 46.75, 49.47
73, 416, 032, 0, 1, 0, 41.27, 48.01, 47.96
74, 448, 032, 0, 0, 0, 40.35, 48.63, 47.70
75, 480, 032, 0, 1, 0, 39.73, 48.65, 47.54
76, 512, 032, 0, 1, 0, 38.84, 48.83, 47.87
77, 544, 032, 0, 0, 0, 39.02, 48.03, 47.13
78, 576, 032, 0, 1, 0, 38.85, 48.54, 46.86
79, 608, 032, 0, 0, 0, 39.91, 48.99, 48.97
80, 640, 032, 0, 6, 0, 38.24, 44.77, 46.66
81, 672, 032, 0, 0, 0, 39.35, 46.69, 47.74
82, 704, 032, 0, 1, 0, 40.68, 47.05, 47.44
83, 736, 032, 0, 0, 0, 40.23, 47.23, 50.78
84, 768, 032, 0, 1, 0, 39.32, 47.29, 46.02
85, 800, 032, 0, 0, 0, 39.38, 47.37, 46.48
86, 832, 032, 0, 1, 0, 38.62, 43.66, 46.31
87, 864, 032, 0, 0, 0, 37.04, 49.57, 49.66
88, 896, 032, 0, 5, 0, 37.57, 50.17, 49.57
89, 928, 032, 0, 0, 0, 38.36, 47.00, 49.20
90, 960, 032, 0, 1, 0, 40.41, 45.16, 46.85
91, 992, 032, 0, 0, 0, 39.32, 49.03, 47.36
92, 1024, 032, 0, 1, 0, 39.49, 49.64, 48.39
93, 1056, 032, 0, 0, 0, 39.33, 48.06, 47.29
94, 1088, 032, 0, 1, 0, 38.62, 46.28, 47.63
95, 1120, 032, 37, 12, 0, 38.46, 48.34, 41.14
96, 1152, 032, 0, 2, 0, 39.51, 43.43, 47.18
97, 1184, 032, 0, 5, 0, 37.59, 47.88, 46.65
98, 1216, 032, 0, 0, 0, 38.48, 48.58, 46.76
99, 1248, 032, 0, 1, 0, 36.67, 46.78, 46.13
100, 1280, 032, 0, 0, 0, 35.31, 46.59, 45.82
101, 1312, 032, 0, 0, 0, 34.50, 45.36, 44.48
102, 1344, 032, 0, 5, 0, 36.11, 41.42, 44.32
103, 1376, 032, 0, 0, 0, 37.86, 42.36, 43.19
104, 1408, 032, 0, 1, 0, 38.30, 46.89, 45.04
105, 1440, 032, 0, 0, 0, 38.33, 45.74, 43.55
106, 1472, 032, 0, 1, 0, 37.75, 39.70, 40.26
107, 1504, 032, 0, 0, 0, 39.09, 43.94, 42.95
108, 1536, 032, 0, 0, 0, 39.97, 48.15, 48.22
109, 1568, 032, 0, 1, 0, 38.61, 46.75, 45.99
110, 1600, 032, 37, 6, 33, 38.46, 45.68, 44.10
111, 1632, 032, 0, 1, 0, 39.92, 47.77, 48.01
112, 1664, 032, 0, 1, 0, 39.59, 47.46, 49.18
113, 1696, 032, 0, 0, 0, 39.35, 48.85, 47.73
114, 1728, 032, 0, 1, 0, 40.23, 48.54, 46.48
