CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 49, 1, 37.31, 41.59, 41.46
1, 064, 000, 0, 7, 0, 34.29, 40.94, 39.71
2, 128, 000, 37, 176, 97, 29.44, 37.86, 36.88
3, 192, 000, 37, 69, 218, 30.70, 40.23, 39.89
4, 256, 000, 37, 66, 356, 32.10, 41.19, 41.90
5, 320, 000, 37, 67, 22, 31.31, 41.62, 38.86
6, 384, 000, 0, 10, 0, 31.50, 43.60, 41.89
7, 448, 000, 0, 15, 0, 31.83, 44.26, 43.80
8, 512, 000, 0, 11, 0, 31.82, 43.57, 42.89
9, 576, 000, 37, 49, 27, 32.26, 44.01, 43.00
10, 640, 000, 37, 70, 20, 32.91, 43.70, 42.09
11, 704, 000, 0, 17, 0, 33.03, 44.54, 43.97
12, 768, 000, 0, 6, 0, 32.87, 43.92, 43.29
13, 832, 000, 0, 6, 0, 34.15, 43.53, 42.83
14, 896, 000, 0, 4, 0, 33.56, 43.36, 42.74
15, 960, 000, 37, 66, 79, 34.89, 41.81, 41.79
16, 1024, 000, 0, 22, 0, 35.15, 43.49, 42.10
17, 1088, 000, 0, 3, 0, 36.39, 44.23, 42.73
18, 1152, 000, 0, 4, 0, 35.39, 43.87, 43.01
19, 1216, 000, 37, 71, 58, 36.43, 41.10, 40.60
20, 1280, 000, 0, 20, 0, 35.82, 43.36, 43.45
21, 1344, 000, 0, 6, 0, 37.17, 44.71, 44.27
22, 1408, 000, 0, 4, 0, 34.83, 37.80, 42.49
23, 1472, 000, 0, 30, 0, 32.06, 41.91, 42.09
24, 1536, 000, 0, 5, 0, 32.91, 41.24, 43.08
25, 1600, 000, 0, 3, 0, 34.10, 45.67, 43.91
26, 1664, 000, 0, 28, 0, 32.98, 44.28, 42.92
27, 1728, 000, 37, 70, 2, 33.66, 43.03, 41.51
28, 1792, 000, 0, 18, 0, 33.98, 42.62, 41.76
29, 1856, 000, 0, 8, 0, 32.17, 43.58, 42.51
30, 000, 064, 37, 41, 1, 34.08, 38.39, 41.91
31, 064, 064, 0, 8, 0, 39.07, 41.75, 44.88
32, 128, 064, 0, 10, 0, 37.01, 42.07, 42.78
33, 192, 064, 37, 48, 25, 32.10, 38.81, 37.40
34, 256, 064, 37, 103, 134, 28.62, 39.19, 36.35
35, 320, 064, 37, 44, 0, 30.06, 40.76, 39.41
36, 384, 064, 37, 76, 61, 34.51, 44.35, 42.61
37, 448, 064, 37, 19, 27, 32.76, 45.29, 43.71
38, 512, 064, 37, 39, 27, 31.27, 44.13, 42.16
39, 576, 064, 0, 59, 0, 31.73, 43.52, 41.68
40, 640, 064, 37, 27, 0, 30.79, 41.38, 39.85
41, 704, 064, 37, 92, 33, 31.60, 39.45, 37.84
42, 768, 064, 37, 57, 62, 32.86, 38.42, 37.11
43, 832, 064, 37, 32, 11, 31.11, 38.19, 37.31
44, 896, 064, 37, 39, 30, 31.72, 38.25, 38.15
45, 960, 064, 37, 86, 44, 32.54, 39.22, 39.39
46, 1024, 064, 0, 6, 0, 33.07, 39.12, 39.62
47, 1088, 064, 0, 6, 0, 32.77, 39.32, 39.76
48, 1152, 064, 0, 6, 0, 32.68, 39.93, 40.03
49, 1216, 064, 37, 43, 53, 33.77, 39.37, 38.70
50, 1280, 064, 0, 19, 0, 32.28, 41.27, 40.39
51, 1344, 064, 0, 3, 0, 33.52, 43.81, 41.94
52, 1408, 064, 0, 3, 0, 32.90, 38.49, 40.66
53, 1472, 064, 37, 64, 40, 31.93, 40.29, 40.45
54, 1536, 064, 37, 28, 8, 31.26, 37.95, 39.56
55, 1600, 064, 37, 37, 17, 31.37, 42.84, 39.05
56, 1664, 064, 37, 77, 18, 30.98, 41.76, 37.93
57, 1728, 064, 37, 71, 19, 30.88, 41.60, 37.72
58, 1792, 064, 37, 56, 9, 31.16, 40.74, 38.61
59, 1856, 064, 0, 41, 0, 31.47, 41.08, 38.53
60, 000, 128, 0, 12, 0, 35.93, 39.96, 43.88
61, 064, 128, 0, 18, 0, 33.90, 38.76, 40.51
62, 128, 128, 0, 13, 0, 34.59, 38.44, 41.16
63, 192, 128, 0, 18, 0, 36.98, 40.50, 42.43
64, 256, 128, 0, 7, 0, 36.43, 41.55, 39.91
65, 320, 128, 37, 37, 0, 31.71, 38.74, 37.34
66, 384, 128, 0, 8, 0, 31.84, 37.69, 36.77
67, 448, 128, 0, 6, 0, 30.91, 36.67, 37.11
68, 512, 128, 37, 65, 1, 30.11, 36.47, 36.19
69, 576, 128, 37, 43, 18, 29.62, 35.78, 35.96
70, 640, 128, 37, 72, 44, 29.64, 35.74, 35.73
71, 704, 128, 37, 64, 0, 29.00, 36.57, 36.81
72, 768, 128, 37, 35, 45, 30.51, 37.98, 37.75
73, 832, 128, 37, 40, 0, 30.97, 38.83, 38.52
74, 896, 128, 0, 56, 0, 29.92, 38.97, 38.11
75, 960, 128, 37, 64, 32, 29.78, 37.54, 37.38
76, 1024, 128, 0, 21, 0, 31.66, 38.68, 38.65
77, 1088, 128, 0, 12, 0, 31.37, 38.94, 38.25
78, 1152, 128, 37, 33, 1, 31.91, 38.01, 38.05
79, 1216, 128, 37, 46, 31, 31.37, 37.04, 37.46
80, 1280, 128, 0, 9, 0, 31.64, 37.20, 39.09
81, 1344, 128, 37, 69, 0, 32.64, 37.86, 39.36
82, 1408, 128, 37, 29, 0, 32.30, 37.08, 38.40
83, 1472, 128, 37, 20, 6, 31.31, 38.06, 36.90
84, 1536, 128, 0, 3, 0, 32.88, 38.26, 38.56
85, 1600, 128, 0, 3, 0, 33.81, 40.56, 39.97
86, 1664, 128, 0, 9, 0, 36.80, 42.12, 43.84
87, 1728, 128, 0, 9, 0, 36.33, 41.93, 42.15
88, 1792, 128, 0, 23, 0, 38.09, 42.23, 40.30
89, 1856, 128, 0, 3, 0, 37.97, 41.69, 41.58
90, 000, 192, 0, 10, 0, 37.19, 42.14, 47.09
91, 064, 192, 0, 5, 0, 36.54, 41.89, 46.75
92, 128, 192, 0, 5, 0, 35.99, 41.40, 43.85
93, 192, 192, 0, 20, 0, 34.52, 39.76, 41.02
94, 256, 192, 0, 5, 0, 31.40, 37.69, 37.91
95, 320, 192, 0, 5, 0, 35.33, 38.87, 40.98
96, 384, 192, 0, 4, 0, 34.79, 39.47, 41.17
97, 448, 192, 0, 3, 0, 33.55, 38.61, 40.85
98, 512, 192, 0, 4, 0, 32.48, 39.05, 40.95
99, 576, 192, 0, 2, 0, 32.56, 40.63, 40.88
100, 640, 192, 37, 33, 0, 32.91, 39.16, 39.85
101, 704, 192, 0, 12, 0, 30.79, 38.76, 39.40
102, 768, 192, 37, 68, 86, 32.35, 39.45, 38.90
103, 832, 192, 37, 59, 17, 31.95, 38.06, 39.96
104, 896, 192, 0, 7, 0, 32.09, 37.86, 40.33
105, 960, 192, 0, 5, 0, 32.78, 38.90, 40.18
106, 1024, 192, 0, 5, 0, 34.26, 40.69, 39.94
107, 1088, 192, 0, 1, 0, 33.94, 40.85, 39.77
108, 1152, 192, 0, 10, 0, 33.22, 39.91, 39.85
109, 1216, 192, 0, 6, 0, 31.46, 39.39, 39.49
110, 1280, 192, 0, 2, 0, 33.27, 40.60, 40.38
111, 1344, 192, 0, 4, 0, 34.01, 40.05, 40.78
112, 1408, 192, 0, 9, 0, 33.71, 40.38, 41.75
113, 1472, 192, 0, 2, 0, 31.82, 39.74, 40.83
114, 1536, 192, 0, 2, 0, 32.73, 39.34, 39.32
115, 1600, 192, 0, 1, 0, 35.84, 40.69, 42.03
116, 1664, 192, 0, 5, 0, 34.63, 40.28, 42.94
117, 1728, 192, 0, 4, 0, 33.04, 39.45, 40.07
118, 1792, 192, 0, 35, 0, 32.88, 37.95, 38.54
119, 1856, 192, 0, 15, 0, 33.89, 38.94, 39.52
120, 000, 256, 0, 5, 0, 33.60, 41.61, 45.87
121, 064, 256, 0, 6, 0, 35.10, 40.76, 44.83
122, 128, 256, 0, 4, 0, 35.58, 41.87, 46.54
123, 192, 256, 0, 6, 0, 36.05, 40.82, 45.89
124, 256, 256, 0, 6, 0, 35.49, 42.87, 44.66
125, 320, 256, 0, 4, 0, 35.97, 43.92, 45.34
126, 384, 256, 0, 5, 0, 34.52, 44.12, 44.89
127, 448, 256, 0, 5, 0, 33.68, 43.29, 42.80
128, 512, 256, 37, 46, 0, 32.05, 43.63, 43.73
129, 576, 256, 37, 146, 58, 33.33, 39.22, 40.74
130, 640, 256, 37, 113, 8, 32.98, 40.03, 42.19
131, 704, 256, 37, 68, 36, 31.16, 40.62, 42.99
132, 768, 256, 0, 7, 0, 33.15, 42.29, 43.94
133, 832, 256, 0, 6, 0, 33.03, 41.63, 44.15
134, 896, 256, 0, 5, 0, 34.37, 42.33, 46.31
135, 960, 256, 0, 6, 0, 33.74, 45.14, 46.57
136, 1024, 256, 0, 5, 0, 36.08, 46.02, 46.87
137, 1088, 256, 0, 2, 0, 35.95, 45.41, 46.41
138, 1152, 256, 0, 3, 0, 36.22, 44.76, 45.90
139, 1216, 256, 0, 6, 0, 34.03, 44.22, 43.00
140, 1280, 256, 0, 5, 0, 35.69, 46.60, 46.38
141, 1344, 256, 0, 6, 0, 36.13, 46.04, 46.59
142, 1408, 256, 0, 3, 0, 35.03, 45.46, 45.42
143, 1472, 256, 0, 6, 0, 35.62, 44.27, 44.56
144, 1536, 256, 0, 28, 0, 32.10, 41.08, 42.46
145, 1600, 256, 0, 4, 0, 35.68, 45.11, 43.80
146, 1664, 256, 0, 12, 0, 34.29, 44.07, 42.94
147, 1728, 256, 0, 5, 0, 30.78, 39.11, 39.09
148, 1792, 256, 37, 41, 380, 28.62, 37.91, 35.48
149, 1856, 256, 0, 16, 0, 34.62, 44.60, 41.78
150, 000, 320, 0, 5, 0, 35.28, 41.65, 42.28
151, 064, 320, 0, 27, 0, 34.33, 40.12, 41.48
152, 128, 320, 0, 16, 0, 34.23, 41.81, 46.14
153, 192, 320, 0, 6, 0, 34.35, 40.79, 44.53
154, 256, 320, 0, 6, 0, 35.11, 42.68, 46.43
155, 320, 320, 37, 61, 1, 34.37, 41.93, 44.84
156, 384, 320, 0, 9, 0, 33.46, 42.93, 43.93
157, 448, 320, 0, 32, 0, 33.17, 41.69, 42.03
158, 512, 320, 37, 105, 118, 31.06, 38.98, 40.45
159, 576, 320, 37, 88, 82, 33.16, 40.87, 41.26
160, 640, 320, 37, 55, 14, 34.67, 41.57, 41.92
161, 704, 320, 37, 166, 208, 29.88, 36.91, 38.71
162, 768, 320, 37, 124, 131, 30.69, 38.38, 38.66
163, 832, 320, 37, 32, 12, 33.41, 40.06, 40.68
164, 896, 320, 0, 8, 0, 32.66, 39.34, 40.85
165, 960, 320, 0, 5, 0, 33.15, 38.50, 39.81
166, 1024, 320, 37, 91, 22, 33.92, 37.65, 40.27
167, 1088, 320, 37, 111, 238, 31.08, 37.10, 38.64
168, 1152, 320, 37, 54, 85, 34.24, 41.00, 40.79
169, 1216, 320, 0, 8, 0, 33.48, 44.11, 42.36
170, 1280, 320, 0, 4, 0, 35.78, 45.46, 43.52
171, 1344, 320, 0, 4, 0, 36.12, 45.63, 43.14
172, 1408, 320, 0, 5, 0, 34.02, 44.58, 45.25
173, 1472, 320, 37, 138, 122, 31.16, 39.96, 40.42
174, 1536, 320, 37, 70, 176, 31.31, 37.88, 39.26
175, 1600, 320, 0, 5, 0, 34.66, 40.69, 42.14
176, 1664, 320, 37, 33, 48, 32.06, 39.39, 41.19
177, 1728, 320, 0, 7, 0, 32.66, 40.91, 42.33
178, 1792, 320, 37, 88, 26, 33.27, 41.24, 40.74
179, 1856, 320, 0, 34, 0, 35.22, 41.19, 41.47
180, 000, 384, 0, 8, 0, 34.78, 42.00, 44.71
181, 064, 384, 0, 9, 0, 34.94, 41.12, 44.84
182, 128, 384, 37, 38, 0, 36.91, 41.29, 44.84
183, 192, 384, 37, 88, 71, 35.34, 39.84, 44.47
184, 256, 384, 37, 55, 0, 33.28, 40.67, 44.31
185, 320, 384, 37, 93, 18, 33.88, 38.90, 42.98
186, 384, 384, 0, 26, 0, 33.38, 42.39, 38.38
187, 448, 384, 37, 105, 20, 30.70, 39.80, 31.19
188, 512, 384, 37, 58, 104, 31.64, 40.74, 34.28
189, 576, 384, 37, 81, 163, 32.43, 40.11, 34.32
190, 640, 384, 37, 30, 76, 32.63, 41.82, 36.34
191, 704, 384, 37, 165, 371, 31.23, 38.32, 38.91
192, 768, 384, 37, 120, 345, 32.87, 38.82, 36.68
193, 832, 384, 0, 29, 0, 34.11, 44.55, 41.94
194, 896, 384, 0, 40, 0, 31.33, 38.06, 39.11
195, 960, 384, 0, 6, 0, 33.53, 39.37, 38.66
196, 1024, 384, 37, 78, 87, 30.81, 39.28, 34.57
197, 1088, 384, 37, 138, 195, 30.12, 37.98, 34.45
198, 1152, 384, 37, 85, 100, 33.22, 36.15, 40.31
199, 1216, 384, 0, 30, 0, 34.39, 46.18, 43.84
200, 1280, 384, 0, 7, 0, 36.46, 47.05, 45.54
201, 1344, 384, 0, 7, 0, 36.43, 47.46, 44.56
202, 1408, 384, 37, 78, 3, 32.28, 43.04, 41.36
203, 1472, 384, 37, 121, 64, 29.76, 37.03, 37.01
204, 1536, 384, 37, 130, 109, 31.21, 38.11, 38.22
205, 1600, 384, 0, 10, 0, 35.05, 44.69, 45.79
206, 1664, 384, 0, 8, 0, 34.49, 43.19, 46.04
207, 1728, 384, 37, 127, 124, 31.18, 36.92, 39.53
208, 1792, 384, 37, 57, 21, 30.21, 36.08, 37.95
209, 1856, 384, 0, 7, 0, 33.44, 38.24, 40.58
210, 000, 448, 37, 50, 4, 35.12, 41.73, 46.34
211, 064, 448, 37, 120, 29, 34.13, 39.80, 41.91
212, 128, 448, 37, 186, 52, 32.95, 40.83, 34.86
213, 192, 448, 37, 108, 69, 34.87, 38.98, 40.81
