CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 17, 39, 38.33, 40.53, 42.45
1, 032, 000, 37, 19, 25, 36.48, 44.56, 42.51
2, 064, 000, 37, 22, 6, 37.71, 45.01, 45.87
3, 096, 000, 37, 11, 0, 38.37, 45.82, 44.87
4, 128, 000, 37, 9, 38, 39.03, 46.29, 43.62
5, 160, 000, 37, 24, 1, 37.98, 42.64, 40.29
6, 192, 000, 37, 13, 1, 40.16, 45.68, 44.49
7, 224, 000, 0, 3, 0, 38.91, 45.92, 47.18
8, 256, 000, 0, 2, 0, 36.64, 47.74, 43.84
9, 288, 000, 37, 5, 21, 34.49, 44.35, 44.35
10, 320, 000, 37, 37, 55, 34.05, 44.00, 45.16
11, 352, 000, 37, 15, 34, 30.90, 43.98, 44.37
12, 384, 000, 37, 9, 90, 34.07, 46.00, 45.41
13, 416, 000, 37, 21, 1, 40.48, 46.46, 45.60
14, 448, 000, 37, 9, 0, 37.94, 43.06, 43.59
15, 480, 000, 0, 3, 0, 39.28, 48.52, 44.67
16, 512, 000, 37, 10, 0, 39.45, 48.13, 44.39
17, 544, 000, 0, 3, 0, 38.94, 45.54, 46.14
18, 576, 000, 0, 1, 0, 39.07, 46.40, 47.84
19, 608, 000, 0, 1, 0, 38.12, 45.99, 48.85
20, 640, 000, 0, 2, 0, 40.05, 45.96, 47.73
21, 672, 000, 0, 1, 0, 39.77, 46.94, 47.41
22, 704, 000, 0, 1, 0, 37.24, 45.32, 44.96
23, 736, 000, 0, 1, 0, 39.58, 47.22, 45.86
24, 768, 000, 0, 2, 0, 39.65, 46.47, 44.71
25, 800, 000, 0, 1, 0, 39.75, 46.51, 45.81
26, 832, 000, 0, 0, 0, 40.18, 47.90, 46.65
27, 864, 000, 0, 6, 0, 39.75, 48.54, 46.99
28, 896, 000, 0, 1, 0, 38.48, 47.01, 47.16
29, 928, 000, 0, 1, 0, 39.72, 46.91, 47.68
30, 960, 000, 0, 1, 0, 39.20, 47.49, 46.96
31, 992, 000, 0, 0, 0, 38.47, 47.13, 44.41
32, 1024, 000, 37, 8, 10, 40.02, 47.18, 44.01
33, 1056, 000, 37, 17, 0, 38.40, 42.90, 44.52
34, 1088, 000, 0, 2, 0, 40.27, 46.92, 45.90
35, 1120, 000, 0, 1, 0, 40.56, 46.77, 46.65
36, 1152, 000, 0, 1, 0, 39.95, 47.85, 48.79
37, 1184, 000, 0, 1, 0, 40.33, 47.65, 47.50
38, 1216, 000, 0, 0, 0, 40.07, 43.77, 44.66
39, 1248, 000, 0, 1, 0, 37.50, 43.08, 41.41
40, 1280, 000, 0, 0, 0, 37.83, 48.47, 50.81
41, 1312, 000, 0, 1, 0, 35.06, 47.36, 48.79
42, 1344, 000, 0, 0, 0, 36.15, 41.25, 47.08
43, 1376, 000, 0, 1, 0, 39.18, 48.48, 48.52
44, 1408, 000, 0, 0, 0, 39.29, 48.48, 48.00
45, 1440, 000, 0, 1, 0, 39.76, 47.49, 47.60
46, 1472, 000, 0, 0, 0, 40.22, 47.76, 48.47
