CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 25, 37, 36.98, 39.67, 41.37
1, 032, 000, 37, 14, 54, 35.92, 45.07, 41.64
2, 064, 000, 37, 20, 7, 37.94, 46.59, 44.47
3, 096, 000, 0, 3, 0, 37.63, 46.26, 43.98
4, 128, 000, 37, 10, 67, 38.90, 43.97, 43.19
5, 160, 000, 37, 7, 27, 40.11, 47.18, 44.19
6, 192, 000, 37, 27, 0, 39.09, 47.00, 45.68
7, 224, 000, 0, 3, 0, 37.71, 47.38, 44.83
8, 256, 000, 0, 2, 0, 34.96, 44.93, 44.00
9, 288, 000, 0, 2, 0, 32.03, 44.74, 45.33
10, 320, 000, 37, 12, 84, 36.38, 44.37, 44.45
11, 352, 000, 37, 17, 45, 31.95, 45.25, 44.86
12, 384, 000, 37, 19, 1, 40.24, 47.54, 45.90
13, 416, 000, 37, 9, 0, 38.56, 43.04, 43.56
14, 448, 000, 0, 2, 0, 39.22, 46.53, 44.91
15, 480, 000, 0, 2, 0, 39.16, 47.56, 44.93
16, 512, 000, 0, 1, 0, 39.49, 46.23, 46.31
17, 544, 000, 0, 1, 0, 38.61, 46.15, 47.47
18, 576, 000, 0, 2, 0, 38.67, 46.36, 49.20
19, 608, 000, 0, 1, 0, 39.13, 46.57, 48.06
20, 640, 000, 0, 1, 0, 40.21, 46.43, 47.93
21, 672, 000, 0, 1, 0, 38.23, 44.54, 44.95
22, 704, 000, 0, 1, 0, 38.55, 47.09, 47.04
23, 736, 000, 0, 1, 0, 38.82, 45.34, 43.86
24, 768, 000, 0, 1, 0, 39.27, 46.91, 46.01
25, 800, 000, 0, 16, 0, 39.62, 46.78, 47.29
26, 832, 000, 0, 1, 0, 39.89, 48.15, 46.55
27, 864, 000, 0, 1, 0, 38.79, 47.31, 46.75
28, 896, 000, 0, 1, 0, 38.12, 47.62, 46.84
29, 928, 000, 0, 1, 0, 40.54, 46.53, 48.18
30, 960, 000, 37, 8, 14, 39.94, 47.41, 44.50
31, 992, 000, 37, 5, 14, 40.46, 46.77, 47.08
32, 1024, 000, 37, 18, 0, 38.62, 43.08, 42.06
33, 1056, 000, 0, 2, 0, 40.92, 45.81, 46.67
34, 1088, 000, 0, 1, 0, 40.17, 46.99, 46.32
35, 1120, 000, 0, 0, 0, 39.54, 47.09, 47.19
36, 1152, 000, 0, 1, 0, 39.59, 47.33, 47.96
37, 1184, 000, 37, 11, 0, 40.49, 46.11, 48.01
38, 1216, 000, 37, 9, 0, 37.80, 43.60, 40.14
39, 1248, 000, 0, 2, 0, 37.58, 49.01, 50.20
40, 1280, 000, 0, 1, 0, 35.50, 48.11, 49.25
41, 1312, 000, 0, 0, 0, 36.23, 41.13, 47.23
42, 1344, 000, 0, 1, 0, 39.89, 48.39, 48.52
43, 1376, 000, 0, 0, 0, 39.27, 48.79, 48.25
44, 1408, 000, 0, 1, 0, 40.30, 47.76, 47.37
45, 1440, 000, 0, 1, 0, 40.22, 47.29, 47.79
46, 1472, 000, 0, 0, 0, 39.94, 45.56, 47.07
47, 1504, 000, 37, 13, 0, 38.75, 41.61, 41.25
48, 1536, 000, 37, 8, 1, 38.91, 46.55, 47.20
49, 1568, 000, 37, 6, 32, 39.71, 45.92, 45.54
50, 1600, 000, 37, 5, 3, 39.23, 45.81, 46.19
51, 1632, 000, 37, 5, 16, 39.77, 45.70, 45.42
52, 1664, 000, 37, 4, 13, 38.79, 46.23, 46.76
53, 1696, 000, 0, 2, 0, 39.21, 45.75, 44.79
54, 1728, 000, 37, 7, 15, 39.80, 45.70, 46.14
55, 1760, 000, 37, 16, 28, 36.53, 45.78, 44.33
56, 1792, 000, 37, 10, 7, 37.43, 49.18, 49.47
57, 1824, 000, 0, 24, 0, 37.28, 48.65, 49.45
58, 1856, 000, 37, 5, 5, 38.60, 46.89, 49.14
59, 1888, 000, 37, 5, 38, 38.51, 46.14, 43.12
60, 000, 032, 37, 11, 58, 37.92, 45.61, 46.48
61, 032, 032, 37, 4, 36, 36.36, 44.79, 45.76
62, 064, 032, 37, 3, 22, 38.01, 44.88, 43.17
63, 096, 032, 0, 1, 0, 38.14, 44.14, 44.84
64, 128, 032, 37, 5, 20, 39.38, 45.69, 46.55
65, 160, 032, 0, 2, 0, 38.52, 44.92, 45.82
66, 192, 032, 37, 4, 19, 39.92, 45.07, 46.52
67, 224, 032, 0, 1, 0, 38.58, 47.59, 45.69
68, 256, 032, 37, 11, 1, 40.21, 46.10, 44.19
69, 288, 032, 0, 0, 0, 39.51, 47.00, 47.88
70, 320, 032, 0, 1, 0, 39.49, 44.91, 47.73
71, 352, 032, 0, 1, 0, 39.47, 46.84, 46.58
72, 384, 032, 0, 1, 0, 39.89, 47.20, 47.01
73, 416, 032, 0, 1, 0, 39.40, 45.07, 43.88
74, 448, 032, 0, 6, 0, 38.18, 45.85, 46.01
75, 480, 032, 0, 0, 0, 39.46, 45.46, 44.40
