CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 19, 1, 36.44, 38.63, 39.66
1, 032, 000, 0, 3, 0, 34.50, 39.82, 38.64
2, 064, 000, 37, 37, 45, 33.57, 40.50, 37.41
3, 096, 000, 37, 9, 85, 30.92, 39.30, 38.87
4, 128, 000, 0, 3, 0, 34.24, 46.40, 46.10
5, 160, 000, 37, 14, 84, 35.69, 44.28, 47.05
6, 192, 000, 37, 8, 70, 37.61, 45.60, 47.59
7, 224, 000, 37, 28, 25, 33.39, 40.89, 40.95
8, 256, 000, 37, 7, 111, 35.27, 42.67, 42.08
9, 288, 000, 37, 6, 36, 37.10, 44.40, 42.56
10, 320, 000, 37, 7, 78, 36.73, 43.13, 40.96
11, 352, 000, 37, 28, 91, 35.79, 42.17, 41.92
12, 384, 000, 37, 16, 18, 37.84, 45.56, 44.97
13, 416, 000, 0, 3, 0, 35.68, 45.10, 45.46
14, 448, 000, 0, 2, 0, 36.06, 44.96, 46.10
15, 480, 000, 0, 1, 0, 37.37, 45.09, 45.39
16, 512, 000, 0, 2, 0, 37.46, 44.64, 45.68
17, 544, 000, 0, 1, 0, 36.66, 45.39, 44.96
18, 576, 000, 0, 1, 0, 38.20, 44.75, 45.76
19, 608, 000, 37, 7, 82, 38.86, 42.59, 44.97
20, 640, 000, 37, 16, 0, 37.09, 44.61, 44.28
21, 672, 000, 0, 3, 0, 37.13, 43.42, 44.60
22, 704, 000, 0, 1, 0, 34.89, 43.29, 44.15
23, 736, 000, 0, 1, 0, 37.91, 44.35, 44.86
24, 768, 000, 0, 1, 0, 38.02, 45.94, 46.11
25, 800, 000, 0, 1, 0, 37.74, 47.41, 45.19
26, 832, 000, 0, 1, 0, 38.11, 46.98, 46.44
27, 864, 000, 0, 1, 0, 38.29, 44.32, 44.12
28, 896, 000, 0, 1, 0, 34.98, 44.35, 44.07
29, 928, 000, 0, 1, 0, 35.75, 44.46, 44.55
30, 960, 000, 0, 0, 0, 37.78, 43.81, 42.15
31, 992, 000, 0, 1, 0, 37.57, 46.37, 44.52
32, 1024, 000, 0, 1, 0, 38.06, 47.05, 44.15
33, 1056, 000, 0, 0, 0, 38.83, 44.02, 42.14
34, 1088, 000, 0, 1, 0, 38.34, 46.32, 45.23
35, 1120, 000, 0, 0, 0, 39.43, 46.03, 44.33
36, 1152, 000, 0, 1, 0, 38.35, 45.34, 42.93
37, 1184, 000, 37, 7, 15, 39.01, 45.52, 44.36
38, 1216, 000, 37, 16, 0, 38.51, 40.44, 42.27
39, 1248, 000, 0, 2, 0, 39.09, 45.86, 44.88
40, 1280, 000, 0, 1, 0, 39.84, 44.86, 45.00
41, 1312, 000, 0, 0, 0, 38.76, 44.55, 45.83
42, 1344, 000, 0, 1, 0, 37.83, 43.72, 45.24
43, 1376, 000, 0, 0, 0, 38.94, 38.57, 44.71
44, 1408, 000, 0, 1, 0, 35.17, 42.87, 40.93
45, 1440, 000, 0, 0, 0, 34.22, 45.78, 47.84
46, 1472, 000, 0, 0, 0, 35.92, 46.11, 48.38
47, 1504, 000, 0, 1, 0, 33.42, 37.75, 42.72
48, 1536, 000, 0, 0, 0, 38.08, 45.97, 45.18
49, 1568, 000, 0, 0, 0, 39.45, 46.04, 45.45
50, 1600, 000, 0, 1, 0, 39.13, 44.98, 44.83
51, 1632, 000, 0, 0, 0, 37.20, 44.63, 44.00
52, 1664, 000, 0, 0, 0, 38.71, 46.85, 44.15
53, 1696, 000, 37, 8, 40, 39.34, 47.04, 45.05
54, 1728, 000, 37, 15, 0, 37.91, 42.18, 40.27
55, 1760, 000, 0, 24, 0, 33.50, 45.39, 43.68
56, 1792, 000, 0, 0, 0, 35.49, 45.16, 44.61
57, 1824, 000, 0, 1, 0, 35.95, 43.54, 43.80
58, 1856, 000, 0, 0, 0, 35.10, 42.86, 43.47
59, 1888, 000, 0, 13, 0, 33.09, 44.22, 43.13
60, 000, 032, 37, 54, 1, 35.31, 38.16, 41.51
61, 032, 032, 37, 19, 26, 38.33, 41.49, 43.39
62, 064, 032, 0, 5, 0, 35.36, 39.71, 38.18
63, 096, 032, 37, 10, 29, 32.37, 38.76, 35.37
64, 128, 032, 0, 1, 0, 32.08, 38.51, 38.38
65, 160, 032, 37, 12, 43, 32.83, 41.49, 42.50
66, 192, 032, 37, 16, 8, 35.14, 43.51, 45.71
67, 224, 032, 0, 5, 0, 33.84, 40.46, 41.48
68, 256, 032, 37, 7, 39, 36.17, 43.86, 44.65
69, 288, 032, 37, 4, 38, 37.68, 47.34, 42.42
70, 320, 032, 37, 15, 27, 35.01, 42.14, 40.98
71, 352, 032, 0, 2, 0, 36.14, 46.51, 46.96
72, 384, 032, 0, 4, 0, 35.31, 44.57, 46.27
73, 416, 032, 0, 1, 0, 33.36, 44.66, 45.92
74, 448, 032, 0, 1, 0, 34.09, 42.99, 44.45
75, 480, 032, 0, 1, 0, 34.05, 41.97, 43.67
76, 512, 032, 0, 1, 0, 32.50, 42.08, 42.65
77, 544, 032, 0, 1, 0, 31.49, 43.51, 42.91
78, 576, 032, 0, 0, 0, 37.59, 43.84, 45.22
