CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 0, 18, 0, 35.67, 47.04, 44.64
1, 032, 000, 0, 2, 0, 36.82, 47.56, 48.36
2, 064, 000, 37, 13, 23, 39.85, 48.03, 47.43
3, 096, 000, 37, 32, 1, 39.66, 46.47, 44.71
4, 128, 000, 0, 3, 0, 38.80, 44.76, 42.97
5, 160, 000, 37, 11, 1, 39.58, 45.01, 45.95
6, 192, 000, 0, 3, 0, 38.95, 46.63, 47.59
7, 224, 000, 0, 1, 0, 40.32, 47.76, 47.37
8, 256, 000, 37, 9, 13, 40.06, 48.15, 48.43
9, 288, 000, 37, 8, 10, 39.43, 47.34, 46.09
10, 320, 000, 0, 2, 0, 38.94, 46.76, 44.56
11, 352, 000, 0, 2, 0, 39.44, 46.71, 46.65
12, 384, 000, 37, 8, 5, 40.07, 45.53, 47.84
13, 416, 000, 37, 7, 14, 38.82, 46.94, 44.59
14, 448, 000, 37, 6, 15, 40.41, 46.76, 47.07
15, 480, 000, 37, 5, 11, 39.45, 44.11, 44.02
16, 512, 000, 37, 20, 0, 39.93, 45.26, 45.87
17, 544, 000, 0, 2, 0, 41.10, 48.71, 46.31
18, 576, 000, 0, 1, 0, 40.98, 48.77, 47.22
19, 608, 000, 0, 6, 0, 40.21, 48.30, 48.13
20, 640, 000, 0, 1, 0, 39.26, 47.96, 48.75
21, 672, 000, 0, 1, 0, 39.01, 49.01, 48.89
22, 704, 000, 0, 2, 0, 38.41, 48.95, 48.05
23, 736, 000, 0, 1, 0, 37.95, 48.45, 48.79
24, 768, 000, 37, 19, 0, 38.61, 44.26, 43.54
25, 800, 000, 0, 2, 0, 40.60, 46.21, 47.03
26, 832, 000, 0, 1, 0, 40.28, 48.23, 46.20
27, 864, 000, 0, 1, 0, 40.59, 48.36, 47.03
28, 896, 000, 0, 1, 0, 40.41, 48.67, 48.10
29, 928, 000, 0, 1, 0, 40.65, 48.32, 48.39
30, 960, 000, 0, 0, 0, 38.83, 43.91, 41.57
31, 992, 000, 0, 1, 0, 37.00, 48.13, 47.34
32, 1024, 000, 0, 1, 0, 38.02, 48.93, 49.25
33, 1056, 000, 0, 1, 0, 38.68, 44.62, 44.21
34, 1088, 000, 0, 0, 0, 40.70, 48.75, 49.40
35, 1120, 000, 0, 1, 0, 38.38, 48.36, 47.85
36, 1152, 000, 0, 0, 0, 39.88, 48.34, 48.36
37, 1184, 000, 0, 1, 0, 39.96, 48.75, 48.95
38, 1216, 000, 0, 0, 0, 39.61, 47.51, 47.40
39, 1248, 000, 37, 12, 23, 40.22, 43.05, 42.58
40, 1280, 000, 0, 1, 0, 38.80, 48.20, 47.23
41, 1312, 000, 0, 1, 0, 38.76, 48.41, 48.41
42, 1344, 000, 0, 0, 0, 38.57, 48.48, 46.05
43, 1376, 000, 0, 1, 0, 38.25, 49.20, 48.87
44, 1408, 000, 0, 0, 0, 38.53, 46.86, 46.65
45, 1440, 000, 0, 6, 0, 38.99, 47.41, 46.99
46, 1472, 000, 37, 22, 0, 39.84, 45.56, 46.15
47, 1504, 000, 0, 1, 0, 37.27, 44.62, 45.27
48, 1536, 000, 0, 1, 0, 38.15, 44.30, 46.13
49, 1568, 000, 0, 0, 0, 38.27, 43.88, 43.26
50, 1600, 000, 0, 1, 0, 38.08, 38.16, 40.40
51, 1632, 000, 0, 0, 0, 38.39, 43.36, 40.29
52, 1664, 000, 0, 5, 0, 36.97, 44.75, 39.22
53, 1696, 000, 37, 8, 14, 39.36, 45.80, 47.65
54, 1728, 000, 37, 17, 1, 37.78, 44.32, 44.28
55, 1760, 000, 0, 1, 0, 41.37, 47.24, 44.71
56, 1792, 000, 0, 5, 0, 40.29, 45.10, 43.27
57, 1824, 000, 0, 0, 0, 39.12, 44.28, 43.42
58, 1856, 000, 0, 1, 0, 40.92, 46.72, 48.34
59, 1888, 000, 0, 0, 0, 38.25, 47.79, 47.96
60, 000, 032, 37, 15, 10, 40.32, 46.06, 49.20
61, 032, 032, 37, 6, 9, 39.96, 46.38, 48.60
62, 064, 032, 0, 2, 0, 37.37, 44.74, 46.17
63, 096, 032, 0, 0, 0, 39.63, 43.49, 46.04
64, 128, 032, 0, 1, 0, 37.44, 42.14, 44.88
65, 160, 032, 37, 6, 24, 38.93, 43.88, 45.31
66, 192, 032, 0, 1, 0, 38.04, 45.66, 46.96
67, 224, 032, 37, 6, 28, 39.24, 45.75, 47.74
68, 256, 032, 37, 17, 0, 38.88, 46.15, 48.27
69, 288, 032, 0, 2, 0, 38.94, 47.16, 48.22
70, 320, 032, 37, 10, 0, 40.47, 46.58, 46.28
71, 352, 032, 0, 1, 0, 40.13, 44.97, 48.54
72, 384, 032, 0, 0, 0, 40.33, 44.32, 45.39
73, 416, 032, 0, 1, 0, 39.12, 48.58, 48.97
74, 448, 032, 0, 0, 0, 39.93, 46.36, 44.95
75, 480, 032, 0, 1, 0, 39.43, 45.50, 46.47
76, 512, 032, 0, 0, 0, 40.25, 43.50, 45.56
