CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 0, 5, 0, 35.97, 43.24, 42.20
1, 032, 000, 37, 10, 26, 39.59, 45.71, 46.80
2, 064, 000, 37, 19, 0, 38.45, 46.96, 47.13
3, 096, 000, 37, 7, 47, 37.29, 45.24, 44.64
4, 128, 000, 37, 7, 61, 36.82, 44.37, 43.68
5, 160, 000, 37, 30, 44, 36.42, 42.52, 42.40
6, 192, 000, 37, 18, 31, 36.23, 43.60, 43.45
7, 224, 000, 37, 6, 32, 41.19, 48.27, 47.51
8, 256, 000, 37, 21, 1, 38.15, 44.56, 44.27
9, 288, 000, 37, 8, 10, 39.54, 46.14, 47.46
10, 320, 000, 0, 4, 0, 40.54, 46.90, 45.27
11, 352, 000, 0, 1, 0, 40.42, 48.47, 45.47
12, 384, 000, 0, 6, 0, 36.73, 48.15, 46.17
13, 416, 000, 0, 1, 0, 41.03, 45.29, 48.18
14, 448, 000, 37, 6, 10, 39.79, 46.36, 47.88
15, 480, 000, 37, 3, 3, 40.07, 47.13, 49.07
16, 512, 000, 37, 5, 12, 39.89, 44.65, 45.46
17, 544, 000, 37, 4, 8, 40.18, 47.33, 47.26
18, 576, 000, 37, 19, 0, 40.63, 49.31, 43.97
19, 608, 000, 0, 3, 0, 39.42, 47.04, 46.02
20, 640, 000, 0, 2, 0, 38.88, 48.41, 48.47
21, 672, 000, 0, 4, 0, 39.25, 48.48, 48.79
22, 704, 000, 0, 2, 0, 39.72, 47.74, 48.00
23, 736, 000, 0, 1, 0, 40.08, 49.03, 48.20
24, 768, 000, 0, 1, 0, 39.38, 48.54, 48.29
25, 800, 000, 0, 1, 0, 37.18, 48.05, 46.24
26, 832, 000, 0, 0, 0, 37.49, 47.12, 46.81
27, 864, 000, 37, 7, 41, 38.72, 43.89, 43.08
28, 896, 000, 37, 4, 28, 41.06, 47.59, 47.22
29, 928, 000, 37, 4, 15, 39.87, 47.12, 47.54
30, 960, 000, 0, 3, 0, 39.48, 47.70, 47.34
31, 992, 000, 37, 6, 8, 40.73, 48.30, 47.70
32, 1024, 000, 37, 3, 16, 40.06, 48.32, 48.11
33, 1056, 000, 37, 18, 0, 38.24, 41.30, 40.91
34, 1088, 000, 0, 3, 0, 38.61, 48.67, 50.48
35, 1120, 000, 0, 1, 0, 38.15, 48.52, 49.68
36, 1152, 000, 0, 0, 0, 37.00, 43.19, 44.75
37, 1184, 000, 0, 1, 0, 39.43, 49.88, 48.29
38, 1216, 000, 0, 1, 0, 38.23, 48.52, 48.75
39, 1248, 000, 0, 1, 0, 41.05, 48.50, 48.95
40, 1280, 000, 0, 0, 0, 40.40, 49.22, 49.14
41, 1312, 000, 0, 1, 0, 39.61, 46.65, 47.92
42, 1344, 000, 37, 12, 0, 39.09, 43.52, 42.03
