CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 45, 0, 37.39, 41.95, 41.74
1, 064, 000, 37, 46, 6, 34.37, 41.11, 39.60
2, 128, 000, 37, 111, 31, 29.97, 37.87, 37.52
3, 192, 000, 37, 19, 28, 29.44, 40.80, 40.68
4, 256, 000, 37, 92, 0, 29.88, 39.41, 39.63
5, 320, 000, 37, 57, 35, 32.24, 43.11, 39.64
6, 384, 000, 0, 6, 0, 32.99, 43.87, 42.53
7, 448, 000, 0, 6, 0, 32.29, 44.00, 43.30
8, 512, 000, 0, 4, 0, 33.10, 44.15, 43.53
9, 576, 000, 0, 35, 0, 32.90, 44.22, 43.59
10, 640, 000, 0, 20, 0, 33.90, 43.95, 42.47
11, 704, 000, 0, 19, 0, 34.48, 44.53, 44.07
12, 768, 000, 0, 6, 0, 34.03, 43.53, 43.60
13, 832, 000, 0, 3, 0, 35.65, 43.92, 43.21
14, 896, 000, 0, 4, 0, 34.79, 43.38, 42.82
15, 960, 000, 0, 21, 0, 32.88, 42.06, 41.88
16, 1024, 000, 0, 5, 0, 37.72, 44.07, 42.61
17, 1088, 000, 0, 7, 0, 37.16, 44.16, 43.48
18, 1152, 000, 0, 7, 0, 36.63, 43.59, 42.22
19, 1216, 000, 37, 37, 0, 34.16, 41.85, 41.88
20, 1280, 000, 0, 6, 0, 37.65, 44.09, 44.42
21, 1344, 000, 0, 3, 0, 37.81, 44.67, 44.65
22, 1408, 000, 0, 25, 0, 35.86, 38.87, 42.15
23, 1472, 000, 0, 28, 0, 33.46, 43.56, 42.99
24, 1536, 000, 0, 4, 0, 35.22, 42.33, 43.59
25, 1600, 000, 0, 2, 0, 35.29, 45.60, 44.44
26, 1664, 000, 0, 3, 0, 33.58, 43.73, 42.00
27, 1728, 000, 37, 108, 49, 35.07, 42.06, 42.74
28, 1792, 000, 37, 97, 23, 35.69, 45.22, 42.99
29, 1856, 000, 0, 33, 0, 33.28, 44.00, 43.09
30, 000, 064, 37, 60, 0, 34.76, 39.80, 42.82
31, 064, 064, 0, 7, 0, 39.40, 41.60, 44.74
32, 128, 064, 0, 7, 0, 37.34, 41.82, 42.60
33, 192, 064, 0, 8, 0, 32.34, 38.99, 37.50
34, 256, 064, 37, 119, 160, 29.09, 38.93, 36.88
35, 320, 064, 37, 67, 11, 31.71, 41.59, 40.22
36, 384, 064, 37, 24, 24, 32.88, 44.83, 43.57
37, 448, 064, 0, 35, 0, 32.70, 45.48, 43.63
38, 512, 064, 0, 36, 0, 33.11, 45.53, 44.37
39, 576, 064, 37, 25, 60, 33.02, 45.59, 43.03
40, 640, 064, 37, 96, 62, 33.20, 42.94, 41.06
41, 704, 064, 37, 43, 12, 32.00, 41.02, 39.67
42, 768, 064, 37, 58, 24, 31.99, 39.23, 38.78
43, 832, 064, 0, 6, 0, 32.48, 40.00, 39.74
44, 896, 064, 37, 66, 57, 32.54, 40.16, 40.01
45, 960, 064, 37, 79, 48, 32.37, 40.71, 40.36
46, 1024, 064, 37, 27, 8, 34.18, 40.83, 41.12
47, 1088, 064, 0, 19, 0, 33.77, 41.47, 41.36
48, 1152, 064, 0, 34, 0, 33.41, 42.01, 41.33
49, 1216, 064, 0, 8, 0, 33.02, 40.33, 40.76
50, 1280, 064, 0, 5, 0, 33.40, 43.21, 42.69
51, 1344, 064, 0, 4, 0, 34.48, 45.03, 43.74
52, 1408, 064, 0, 4, 0, 33.10, 39.26, 41.86
53, 1472, 064, 37, 21, 10, 32.11, 41.39, 41.99
